date,CADEUR,isPartial
2013-01-06,0,False
2013-01-13,11,False
2013-01-20,0,False
2013-01-27,14,False
2013-02-03,12,False
2013-02-10,0,False
2013-02-17,12,False
2013-02-24,12,False
2013-03-03,21,False
2013-03-10,21,False
2013-03-17,14,False
2013-03-24,28,False
2013-03-31,10,False
2013-04-07,10,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,15,False
2013-05-05,10,False
2013-05-12,0,False
2013-05-19,10,False
2013-05-26,10,False
2013-06-02,23,False
2013-06-09,0,False
2013-06-16,35,False
2013-06-23,14,False
2013-06-30,0,False
2013-07-07,21,False
2013-07-14,12,False
2013-07-21,14,False
2013-07-28,11,False
2013-08-04,11,False
2013-08-11,0,False
2013-08-18,24,False
2013-08-25,10,False
2013-09-01,0,False
2013-09-08,11,False
2013-09-15,10,False
2013-09-22,13,False
2013-09-29,10,False
2013-10-06,10,False
2013-10-13,0,False
2013-10-20,17,False
2013-10-27,28,False
2013-11-03,10,False
2013-11-10,0,False
2013-11-17,19,False
2013-11-24,10,False
2013-12-01,13,False
2013-12-08,14,False
2013-12-15,0,False
2013-12-22,16,False
2013-12-29,14,False
2014-01-05,16,False
2014-01-12,27,False
2014-01-19,9,False
2014-01-26,18,False
2014-02-02,19,False
2014-02-09,24,False
2014-02-16,12,False
2014-02-23,9,False
2014-03-02,9,False
2014-03-09,9,False
2014-03-16,10,False
2014-03-23,13,False
2014-03-30,13,False
2014-04-06,0,False
2014-04-13,11,False
2014-04-20,9,False
2014-04-27,16,False
2014-05-04,9,False
2014-05-11,20,False
2014-05-18,10,False
2014-05-25,11,False
2014-06-01,18,False
2014-06-08,17,False
2014-06-15,0,False
2014-06-22,10,False
2014-06-29,12,False
2014-07-06,10,False
2014-07-13,10,False
2014-07-20,0,False
2014-07-27,10,False
2014-08-03,18,False
2014-08-10,11,False
2014-08-17,15,False
2014-08-24,10,False
2014-08-31,24,False
2014-09-07,17,False
2014-09-14,9,False
2014-09-21,25,False
2014-09-28,21,False
2014-10-05,11,False
2014-10-12,19,False
2014-10-19,14,False
2014-10-26,21,False
2014-11-02,18,False
2014-11-09,10,False
2014-11-16,18,False
2014-11-23,10,False
2014-11-30,16,False
2014-12-07,31,False
2014-12-14,0,False
2014-12-21,10,False
2014-12-28,18,False
