date,MADCAD,isPartial
2013-01-06,36,False
2013-01-13,54,False
2013-01-20,51,False
2013-01-27,100,False
2013-02-03,51,False
2013-02-10,45,False
2013-02-17,50,False
2013-02-24,58,False
2013-03-03,65,False
2013-03-10,42,False
2013-03-17,36,False
2013-03-24,92,False
2013-03-31,51,False
2013-04-07,72,False
2013-04-14,36,False
2013-04-21,80,False
2013-04-28,59,False
2013-05-05,36,False
2013-05-12,33,False
2013-05-19,33,False
2013-05-26,40,False
2013-06-02,57,False
2013-06-09,28,False
2013-06-16,43,False
2013-06-23,36,False
2013-06-30,30,False
2013-07-07,22,False
2013-07-14,81,False
2013-07-21,58,False
2013-07-28,36,False
2013-08-04,61,False
2013-08-11,44,False
2013-08-18,30,False
2013-08-25,42,False
2013-09-01,56,False
2013-09-08,61,False
2013-09-15,28,False
2013-09-22,62,False
2013-09-29,34,False
2013-10-06,41,False
2013-10-13,61,False
2013-10-20,40,False
2013-10-27,67,False
2013-11-03,72,False
2013-11-10,40,False
2013-11-17,46,False
2013-11-24,33,False
2013-12-01,77,False
2013-12-08,63,False
2013-12-15,56,False
2013-12-22,70,False
2013-12-29,29,False
2014-01-05,58,False
2014-01-12,51,False
2014-01-19,38,False
2014-01-26,63,False
2014-02-02,19,False
2014-02-09,86,False
2014-02-16,44,False
2014-02-23,34,False
2014-03-02,44,False
2014-03-09,56,False
2014-03-16,68,False
2014-03-23,31,False
2014-03-30,75,False
2014-04-06,44,False
2014-04-13,53,False
2014-04-20,26,False
2014-04-27,63,False
2014-05-04,50,False
2014-05-11,31,False
2014-05-18,86,False
2014-05-25,28,False
2014-06-01,29,False
2014-06-08,42,False
2014-06-15,28,False
2014-06-22,58,False
2014-06-29,34,False
2014-07-06,21,False
2014-07-13,22,False
2014-07-20,19,False
2014-07-27,45,False
2014-08-03,59,False
2014-08-10,44,False
2014-08-17,83,False
2014-08-24,28,False
2014-08-31,47,False
2014-09-07,40,False
2014-09-14,39,False
2014-09-21,72,False
2014-09-28,60,False
2014-10-05,46,False
2014-10-12,45,False
2014-10-19,26,False
2014-10-26,35,False
2014-11-02,26,False
2014-11-09,30,False
2014-11-16,40,False
2014-11-23,26,False
2014-11-30,34,False
2014-12-07,38,False
2014-12-14,52,False
2014-12-21,0,False
2014-12-28,21,False
2015-01-04,31,False
2015-01-11,61,False
2015-01-18,36,False
2015-01-25,47,False
2015-02-01,30,False
2015-02-08,36,False
2015-02-15,49,False
2015-02-22,48,False
2015-03-01,57,False
2015-03-08,37,False
2015-03-15,49,False
2015-03-22,35,False
2015-03-29,25,False
2015-04-05,42,False
2015-04-12,47,False
2015-04-19,59,False
2015-04-26,48,False
2015-05-03,30,False
2015-05-10,36,False
2015-05-17,33,False
2015-05-24,18,False
2015-05-31,42,False
2015-06-07,59,False
2015-06-14,77,False
2015-06-21,33,False
2015-06-28,42,False
2015-07-05,42,False
2015-07-12,19,False
2015-07-19,48,False
2015-07-26,48,False
2015-08-02,28,False
2015-08-09,16,False
2015-08-16,35,False
2015-08-23,48,False
2015-08-30,36,False
2015-09-06,34,False
2015-09-13,34,False
2015-09-20,45,False
2015-09-27,33,False
2015-10-04,22,False
2015-10-11,39,False
2015-10-18,44,False
2015-10-25,35,False
2015-11-01,33,False
2015-11-08,30,False
2015-11-15,65,False
2015-11-22,33,False
2015-11-29,34,False
2015-12-06,23,False
2015-12-13,28,False
2015-12-20,23,False
2015-12-27,0,False
2016-01-03,29,False
2016-01-10,23,False
2016-01-17,34,False
2016-01-24,34,False
2016-01-31,36,False
