date,PENCAD,isPartial
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,38,False
2017-08-13,30,False
2017-08-20,0,False
2017-08-27,39,False
2017-09-03,28,False
2017-09-10,25,False
2017-09-17,0,False
2017-09-24,29,False
2017-10-01,0,False
2017-10-08,51,False
2017-10-15,0,False
2017-10-22,25,False
2017-10-29,28,False
2017-11-05,25,False
2017-11-12,24,False
2017-11-19,24,False
2017-11-26,0,False
2017-12-03,25,False
2017-12-10,25,False
2017-12-17,34,False
2017-12-24,0,False
2017-12-31,0,True
