date,USDCNY,isPartial
2015-05-10,5,False
2015-05-17,8,False
2015-05-24,6,False
2015-05-31,8,False
2015-06-07,6,False
2015-06-14,9,False
2015-06-21,6,False
2015-06-28,5,False
2015-07-05,16,False
2015-07-12,5,False
2015-07-19,8,False
2015-07-26,10,False
2015-08-02,9,False
2015-08-09,100,False
2015-08-16,41,False
2015-08-23,33,False
2015-08-30,22,False
2015-09-06,18,False
2015-09-13,17,False
2015-09-20,14,False
2015-09-27,9,False
2015-10-04,10,False
2015-10-11,12,False
2015-10-18,9,False
2015-10-25,18,False
2015-11-01,19,False
2015-11-08,15,False
2015-11-15,12,False
2015-11-22,14,False
2015-11-29,27,False
2015-12-06,27,False
2015-12-13,30,False
2015-12-20,11,False
2015-12-27,18,False
2016-01-03,56,False
2016-01-10,47,False
2016-01-17,31,False
2016-01-24,22,False
2016-01-31,22,False
2016-02-07,15,False
2016-02-14,29,False
2016-02-21,17,False
2016-02-28,19,False
2016-03-06,13,False
2016-03-13,16,False
2016-03-20,17,False
2016-03-27,13,False
2016-04-03,12,False
2016-04-10,11,False
2016-04-17,11,False
2016-04-24,16,False
2016-05-01,14,False
2016-05-08,11,False
2016-05-15,10,False
2016-05-22,13,False
2016-05-29,21,False
2016-06-05,14,False
2016-06-12,18,False
2016-06-19,21,False
2016-06-26,32,False
2016-07-03,22,False
2016-07-10,19,False
2016-07-17,15,False
2016-07-24,10,False
2016-07-31,14,False
2016-08-07,10,False
2016-08-14,8,False
2016-08-21,10,False
2016-08-28,19,False
2016-09-04,16,False
2016-09-11,14,False
2016-09-18,11,False
2016-09-25,9,False
2016-10-02,11,False
2016-10-09,24,False
2016-10-16,24,False
2016-10-23,22,False
2016-10-30,21,False
2016-11-06,34,False
2016-11-13,39,False
2016-11-20,43,False
2016-11-27,27,False
2016-12-04,93,False
2016-12-11,42,False
2016-12-18,28,False
2016-12-25,40,False
2017-01-01,28,False
2017-01-08,24,False
2017-01-15,21,False
2017-01-22,20,False
2017-01-29,13,False
2017-02-05,12,False
2017-02-12,8,False
2017-02-19,12,False
2017-02-26,10,False
2017-03-05,10,False
2017-03-12,11,False
2017-03-19,11,False
2017-03-26,16,False
2017-04-02,13,False
2017-04-09,10,False
2017-04-16,11,False
2017-04-23,10,False
2017-04-30,10,False
2017-05-07,9,False
2017-05-14,10,False
2017-05-21,12,False
2017-05-28,17,False
2017-06-04,12,False
2017-06-11,11,False
2017-06-18,12,False
2017-06-25,10,False
2017-07-02,7,False
2017-07-09,14,False
2017-07-16,10,False
2017-07-23,12,False
2017-07-30,14,False
2017-08-06,14,False
2017-08-13,9,False
2017-08-20,10,False
2017-08-27,9,False
2017-09-03,22,False
2017-09-10,22,False
2017-09-17,9,False
2017-09-24,13,False
2017-10-01,7,False
2017-10-08,11,False
2017-10-15,12,False
2017-10-22,8,False
2017-10-29,9,False
2017-11-05,11,False
2017-11-12,7,False
2017-11-19,8,False
2017-11-26,18,False
2017-12-03,14,False
2017-12-10,18,False
2017-12-17,4,False
2017-12-24,10,False
2017-12-31,12,True
