date,EURCHF,isPartial
2013-01-06,4,False
2013-01-13,17,False
2013-01-20,12,False
2013-01-27,10,False
2013-02-03,9,False
2013-02-10,7,False
2013-02-17,7,False
2013-02-24,7,False
2013-03-03,4,False
2013-03-10,4,False
2013-03-17,6,False
2013-03-24,7,False
2013-03-31,6,False
2013-04-07,5,False
2013-04-14,4,False
2013-04-21,5,False
2013-04-28,5,False
2013-05-05,5,False
2013-05-12,7,False
2013-05-19,6,False
2013-05-26,8,False
2013-06-02,5,False
2013-06-09,4,False
2013-06-16,5,False
2013-06-23,5,False
2013-06-30,6,False
2013-07-07,4,False
2013-07-14,4,False
2013-07-21,5,False
2013-07-28,4,False
2013-08-04,3,False
2013-08-11,4,False
2013-08-18,4,False
2013-08-25,5,False
2013-09-01,4,False
2013-09-08,4,False
2013-09-15,5,False
2013-09-22,5,False
2013-09-29,5,False
2013-10-06,3,False
2013-10-13,3,False
2013-10-20,4,False
2013-10-27,4,False
2013-11-03,5,False
2013-11-10,3,False
2013-11-17,2,False
2013-11-24,4,False
2013-12-01,4,False
2013-12-08,4,False
2013-12-15,4,False
2013-12-22,5,False
2013-12-29,2,False
2014-01-05,5,False
2014-01-12,3,False
2014-01-19,5,False
2014-01-26,6,False
2014-02-02,5,False
2014-02-09,4,False
2014-02-16,4,False
2014-02-23,6,False
2014-03-02,8,False
2014-03-09,5,False
2014-03-16,5,False
2014-03-23,5,False
2014-03-30,4,False
2014-04-06,4,False
2014-04-13,4,False
2014-04-20,4,False
2014-04-27,4,False
2014-05-04,5,False
2014-05-11,5,False
2014-05-18,4,False
2014-05-25,4,False
2014-06-01,5,False
2014-06-08,2,False
2014-06-15,6,False
2014-06-22,3,False
2014-06-29,3,False
2014-07-06,4,False
2014-07-13,3,False
2014-07-20,3,False
2014-07-27,3,False
2014-08-03,3,False
2014-08-10,5,False
2014-08-17,4,False
2014-08-24,9,False
2014-08-31,6,False
2014-09-07,5,False
2014-09-14,5,False
2014-09-21,4,False
2014-09-28,4,False
2014-10-05,4,False
2014-10-12,5,False
2014-10-19,4,False
2014-10-26,5,False
2014-11-02,5,False
2014-11-09,9,False
2014-11-16,8,False
2014-11-23,6,False
2014-11-30,8,False
2014-12-07,5,False
2014-12-14,10,False
2014-12-21,4,False
2014-12-28,4,False
2015-01-04,7,False
2015-01-11,100,False
2015-01-18,70,False
2015-01-25,38,False
2015-02-01,21,False
2015-02-08,19,False
2015-02-15,17,False
2015-02-22,12,False
2015-03-01,13,False
2015-03-08,12,False
2015-03-15,11,False
2015-03-22,8,False
2015-03-29,9,False
2015-04-05,7,False
2015-04-12,9,False
2015-04-19,10,False
2015-04-26,7,False
2015-05-03,7,False
2015-05-10,5,False
2015-05-17,4,False
2015-05-24,4,False
2015-05-31,5,False
2015-06-07,6,False
2015-06-14,7,False
2015-06-21,7,False
2015-06-28,13,False
2015-07-05,9,False
2015-07-12,9,False
2015-07-19,5,False
2015-07-26,8,False
2015-08-02,6,False
2015-08-09,13,False
2015-08-16,8,False
2015-08-23,9,False
2015-08-30,7,False
2015-09-06,8,False
2015-09-13,5,False
2015-09-20,4,False
2015-09-27,4,False
2015-10-04,3,False
2015-10-11,4,False
2015-10-18,7,False
2015-10-25,5,False
2015-11-01,4,False
2015-11-08,4,False
2015-11-15,6,False
2015-11-22,6,False
2015-11-29,8,False
2015-12-06,4,False
2015-12-13,6,False
2015-12-20,6,False
2015-12-27,4,False
2016-01-03,6,False
2016-01-10,5,False
2016-01-17,5,False
2016-01-24,7,False
2016-01-31,8,False
2016-02-07,7,False
2016-02-14,6,False
2016-02-21,7,False
2016-02-28,6,False
2016-03-06,8,False
2016-03-13,5,False
2016-03-20,4,False
2016-03-27,4,False
2016-04-03,3,False
2016-04-10,3,False
2016-04-17,5,False
2016-04-24,5,False
2016-05-01,5,False
2016-05-08,4,False
2016-05-15,4,False
2016-05-22,5,False
2016-05-29,4,False
2016-06-05,6,False
2016-06-12,7,False
2016-06-19,15,False
2016-06-26,9,False
2016-07-03,5,False
2016-07-10,5,False
2016-07-17,4,False
2016-07-24,2,False
2016-07-31,3,False
2016-08-07,5,False
2016-08-14,3,False
2016-08-21,4,False
2016-08-28,4,False
2016-09-04,5,False
2016-09-11,3,False
2016-09-18,2,False
2016-09-25,4,False
2016-10-02,4,False
2016-10-09,2,False
2016-10-16,3,False
2016-10-23,4,False
2016-10-30,5,False
2016-11-06,6,False
2016-11-13,5,False
2016-11-20,3,False
2016-11-27,4,False
2016-12-04,7,False
2016-12-11,3,False
2016-12-18,5,False
2016-12-25,4,False
2017-01-01,4,False
2017-01-08,4,False
2017-01-15,4,False
2017-01-22,4,False
2017-01-29,5,False
2017-02-05,5,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,6,False
2017-03-05,3,False
2017-03-12,5,False
2017-03-19,4,False
2017-03-26,4,False
2017-04-02,4,False
2017-04-09,3,False
2017-04-16,4,False
2017-04-23,6,False
2017-04-30,5,False
2017-05-07,7,False
2017-05-14,6,False
2017-05-21,4,False
2017-05-28,4,False
2017-06-04,4,False
2017-06-11,4,False
2017-06-18,5,False
2017-06-25,3,False
2017-07-02,5,False
2017-07-09,5,False
2017-07-16,5,False
2017-07-23,11,False
2017-07-30,12,False
2017-08-06,10,False
2017-08-13,7,False
2017-08-20,7,False
2017-08-27,8,False
2017-09-03,7,False
2017-09-10,7,False
2017-09-17,6,False
2017-09-24,9,False
2017-10-01,6,False
2017-10-08,6,False
2017-10-15,7,False
2017-10-22,10,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,7,False
2017-11-19,6,False
2017-11-26,8,False
2017-12-03,6,False
2017-12-10,8,False
2017-12-17,7,False
2017-12-24,8,False
2017-12-31,5,True
