date,CNYSGD,isPartial
2017-07-16,47,False
2017-07-23,46,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,67,False
2017-08-20,0,False
2017-08-27,45,False
2017-09-03,43,False
2017-09-10,50,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,43,False
2017-10-29,0,False
2017-11-05,42,False
2017-11-12,41,False
2017-11-19,0,False
2017-11-26,55,False
2017-12-03,56,False
2017-12-10,67,False
2017-12-17,43,False
2017-12-24,0,False
2017-12-31,0,True
