date,USDCNY,isPartial
2013-01-06,9,False
2013-01-13,8,False
2013-01-20,5,False
2013-01-27,7,False
2013-02-03,6,False
2013-02-10,4,False
2013-02-17,6,False
2013-02-24,7,False
2013-03-03,7,False
2013-03-10,6,False
2013-03-17,5,False
2013-03-24,6,False
2013-03-31,6,False
2013-04-07,6,False
2013-04-14,7,False
2013-04-21,14,False
2013-04-28,7,False
2013-05-05,13,False
2013-05-12,7,False
2013-05-19,11,False
2013-05-26,12,False
2013-06-02,8,False
2013-06-09,11,False
2013-06-16,9,False
2013-06-23,13,False
2013-06-30,9,False
2013-07-07,9,False
2013-07-14,9,False
2013-07-21,5,False
2013-07-28,7,False
2013-08-04,6,False
2013-08-11,9,False
2013-08-18,8,False
2013-08-25,8,False
2013-09-01,5,False
2013-09-08,7,False
2013-09-15,7,False
2013-09-22,9,False
2013-09-29,3,False
2013-10-06,5,False
2013-10-13,12,False
2013-10-20,8,False
2013-10-27,7,False
2013-11-03,10,False
2013-11-10,9,False
2013-11-17,11,False
2013-11-24,5,False
2013-12-01,8,False
2013-12-08,7,False
2013-12-15,8,False
2013-12-22,6,False
2013-12-29,9,False
2014-01-05,8,False
2014-01-12,11,False
2014-01-19,7,False
2014-01-26,9,False
2014-02-02,7,False
2014-02-09,9,False
2014-02-16,13,False
2014-02-23,42,False
2014-03-02,21,False
2014-03-09,19,False
2014-03-16,41,False
2014-03-23,26,False
2014-03-30,20,False
2014-04-06,16,False
2014-04-13,10,False
2014-04-20,17,False
2014-04-27,19,False
2014-05-04,18,False
2014-05-11,13,False
2014-05-18,10,False
2014-05-25,14,False
2014-06-01,7,False
2014-06-08,11,False
2014-06-15,8,False
2014-06-22,9,False
2014-06-29,6,False
2014-07-06,7,False
2014-07-13,5,False
2014-07-20,6,False
2014-07-27,7,False
2014-08-03,9,False
2014-08-10,5,False
2014-08-17,4,False
2014-08-24,7,False
2014-08-31,6,False
2014-09-07,10,False
2014-09-14,9,False
2014-09-21,9,False
2014-09-28,7,False
2014-10-05,8,False
2014-10-12,7,False
2014-10-19,4,False
2014-10-26,7,False
2014-11-02,10,False
2014-11-09,9,False
2014-11-16,11,False
2014-11-23,10,False
2014-11-30,7,False
2014-12-07,18,False
2014-12-14,14,False
2014-12-21,7,False
2014-12-28,8,False
2015-01-04,10,False
2015-01-11,11,False
2015-01-18,16,False
2015-01-25,17,False
2015-02-01,18,False
2015-02-08,11,False
2015-02-15,8,False
2015-02-22,18,False
2015-03-01,19,False
2015-03-08,14,False
2015-03-15,13,False
2015-03-22,9,False
2015-03-29,11,False
2015-04-05,10,False
2015-04-12,11,False
2015-04-19,8,False
2015-04-26,8,False
2015-05-03,10,False
2015-05-10,7,False
2015-05-17,7,False
2015-05-24,7,False
2015-05-31,8,False
2015-06-07,5,False
2015-06-14,7,False
2015-06-21,6,False
2015-06-28,5,False
2015-07-05,14,False
2015-07-12,7,False
2015-07-19,10,False
2015-07-26,10,False
2015-08-02,5,False
2015-08-09,100,False
2015-08-16,37,False
2015-08-23,38,False
2015-08-30,25,False
2015-09-06,16,False
2015-09-13,16,False
2015-09-20,13,False
2015-09-27,9,False
2015-10-04,10,False
2015-10-11,11,False
2015-10-18,9,False
2015-10-25,17,False
2015-11-01,15,False
2015-11-08,14,False
2015-11-15,15,False
2015-11-22,12,False
2015-11-29,21,False
2015-12-06,26,False
2015-12-13,28,False
2015-12-20,11,False
2015-12-27,18,False
2016-01-03,59,False
2016-01-10,45,False
2016-01-17,24,False
2016-01-24,20,False
2016-01-31,26,False
2016-02-07,16,False
2016-02-14,25,False
2016-02-21,14,False
2016-02-28,19,False
2016-03-06,14,False
2016-03-13,16,False
2016-03-20,15,False
2016-03-27,14,False
2016-04-03,9,False
2016-04-10,9,False
2016-04-17,11,False
2016-04-24,13,False
2016-05-01,12,False
2016-05-08,11,False
2016-05-15,13,False
2016-05-22,13,False
2016-05-29,24,False
2016-06-05,10,False
2016-06-12,19,False
2016-06-19,25,False
2016-06-26,33,False
2016-07-03,22,False
2016-07-10,17,False
2016-07-17,14,False
2016-07-24,11,False
2016-07-31,14,False
2016-08-07,11,False
2016-08-14,8,False
2016-08-21,10,False
2016-08-28,17,False
2016-09-04,13,False
2016-09-11,12,False
2016-09-18,11,False
2016-09-25,7,False
2016-10-02,10,False
2016-10-09,20,False
