date,EURRUB,isPartial
2013-01-06,2,False
2013-01-13,1,False
2013-01-20,3,False
2013-01-27,1,False
2013-02-03,3,False
2013-02-10,3,False
2013-02-17,1,False
2013-02-24,3,False
2013-03-03,2,False
2013-03-10,2,False
2013-03-17,4,False
2013-03-24,3,False
2013-03-31,4,False
2013-04-07,5,False
2013-04-14,3,False
2013-04-21,2,False
2013-04-28,2,False
2013-05-05,3,False
2013-05-12,1,False
2013-05-19,0,False
2013-05-26,2,False
2013-06-02,4,False
2013-06-09,2,False
2013-06-16,3,False
2013-06-23,4,False
2013-06-30,2,False
2013-07-07,2,False
2013-07-14,3,False
2013-07-21,3,False
2013-07-28,4,False
2013-08-04,4,False
2013-08-11,3,False
2013-08-18,2,False
2013-08-25,3,False
2013-09-01,4,False
2013-09-08,3,False
2013-09-15,3,False
2013-09-22,1,False
2013-09-29,2,False
2013-10-06,1,False
2013-10-13,2,False
2013-10-20,1,False
2013-10-27,2,False
2013-11-03,6,False
2013-11-10,3,False
2013-11-17,1,False
2013-11-24,2,False
2013-12-01,1,False
2013-12-08,3,False
2013-12-15,1,False
2013-12-22,1,False
2013-12-29,3,False
2014-01-05,1,False
2014-01-12,1,False
2014-01-19,3,False
2014-01-26,4,False
2014-02-02,3,False
2014-02-09,3,False
2014-02-16,4,False
2014-02-23,7,False
2014-03-02,20,False
2014-03-09,8,False
2014-03-16,9,False
2014-03-23,6,False
2014-03-30,5,False
2014-04-06,3,False
2014-04-13,4,False
2014-04-20,6,False
2014-04-27,4,False
2014-05-04,5,False
2014-05-11,2,False
2014-05-18,4,False
2014-05-25,3,False
2014-06-01,4,False
2014-06-08,3,False
2014-06-15,2,False
2014-06-22,2,False
2014-06-29,6,False
2014-07-06,5,False
2014-07-13,3,False
2014-07-20,6,False
2014-07-27,5,False
2014-08-03,5,False
2014-08-10,1,False
2014-08-17,4,False
2014-08-24,3,False
2014-08-31,6,False
2014-09-07,5,False
2014-09-14,7,False
2014-09-21,5,False
2014-09-28,4,False
2014-10-05,5,False
2014-10-12,4,False
2014-10-19,7,False
2014-10-26,12,False
2014-11-02,17,False
2014-11-09,12,False
2014-11-16,13,False
2014-11-23,15,False
2014-11-30,32,False
2014-12-07,24,False
2014-12-14,100,False
2014-12-21,24,False
2014-12-28,22,False
2015-01-04,21,False
2015-01-11,21,False
2015-01-18,13,False
2015-01-25,22,False
2015-02-01,14,False
2015-02-08,11,False
2015-02-15,14,False
2015-02-22,8,False
2015-03-01,9,False
2015-03-08,13,False
2015-03-15,10,False
2015-03-22,7,False
2015-03-29,6,False
2015-04-05,10,False
2015-04-12,11,False
2015-04-19,8,False
2015-04-26,9,False
2015-05-03,6,False
2015-05-10,6,False
2015-05-17,5,False
2015-05-24,4,False
2015-05-31,7,False
2015-06-07,9,False
2015-06-14,7,False
2015-06-21,5,False
2015-06-28,5,False
2015-07-05,6,False
2015-07-12,6,False
2015-07-19,4,False
2015-07-26,7,False
2015-08-02,6,False
2015-08-09,11,False
2015-08-16,9,False
2015-08-23,18,False
2015-08-30,12,False
2015-09-06,6,False
2015-09-13,6,False
2015-09-20,5,False
2015-09-27,3,False
2015-10-04,4,False
2015-10-11,6,False
2015-10-18,4,False
2015-10-25,4,False
2015-11-01,5,False
2015-11-08,11,False
2015-11-15,7,False
2015-11-22,6,False
2015-11-29,3,False
2015-12-06,9,False
2015-12-13,4,False
2015-12-20,5,False
2015-12-27,7,False
2016-01-03,9,False
2016-01-10,9,False
2016-01-17,15,False
2016-01-24,6,False
2016-01-31,6,False
2016-02-07,9,False
2016-02-14,6,False
2016-02-21,6,False
2016-02-28,10,False
2016-03-06,6,False
2016-03-13,6,False
2016-03-20,8,False
2016-03-27,3,False
2016-04-03,6,False
2016-04-10,2,False
2016-04-17,4,False
2016-04-24,2,False
2016-05-01,4,False
2016-05-08,7,False
2016-05-15,4,False
2016-05-22,6,False
2016-05-29,5,False
2016-06-05,3,False
2016-06-12,4,False
2016-06-19,8,False
2016-06-26,5,False
2016-07-03,5,False
2016-07-10,5,False
2016-07-17,3,False
2016-07-24,7,False
2016-07-31,4,False
2016-08-07,4,False
2016-08-14,3,False
2016-08-21,3,False
2016-08-28,4,False
2016-09-04,3,False
2016-09-11,2,False
2016-09-18,2,False
2016-09-25,3,False
2016-10-02,3,False
2016-10-09,5,False
2016-10-16,3,False
2016-10-23,5,False
2016-10-30,4,False
2016-11-06,6,False
2016-11-13,6,False
2016-11-20,2,False
2016-11-27,5,False
2016-12-04,5,False
2016-12-11,6,False
2016-12-18,3,False
2016-12-25,6,False
2017-01-01,3,False
2017-01-08,3,False
2017-01-15,3,False
2017-01-22,2,False
2017-01-29,3,False
2017-02-05,4,False
2017-02-12,3,False
2017-02-19,5,False
2017-02-26,3,False
2017-03-05,3,False
2017-03-12,2,False
2017-03-19,4,False
2017-03-26,3,False
2017-04-02,5,False
2017-04-09,4,False
2017-04-16,2,False
2017-04-23,2,False
2017-04-30,3,False
2017-05-07,3,False
2017-05-14,3,False
2017-05-21,4,False
2017-05-28,3,False
2017-06-04,4,False
2017-06-11,2,False
2017-06-18,3,False
2017-06-25,3,False
2017-07-02,6,False
2017-07-09,5,False
2017-07-16,4,False
2017-07-23,5,False
2017-07-30,6,False
2017-08-06,3,False
2017-08-13,3,False
2017-08-20,4,False
2017-08-27,4,False
2017-09-03,2,False
2017-09-10,3,False
2017-09-17,3,False
2017-09-24,4,False
2017-10-01,3,False
2017-10-08,5,False
2017-10-15,2,False
2017-10-22,3,False
2017-10-29,5,False
2017-11-05,3,False
2017-11-12,3,False
2017-11-19,4,False
2017-11-26,4,False
2017-12-03,3,False
2017-12-10,3,False
2017-12-17,2,False
2017-12-24,5,False
2017-12-31,3,True
