date,GBPCNY,isPartial
2013-01-06,36,False
2013-01-13,35,False
2013-01-20,23,False
2013-01-27,38,False
2013-02-03,39,False
2013-02-10,19,False
2013-02-17,32,False
2013-02-24,27,False
2013-03-03,17,False
2013-03-10,28,False
2013-03-17,19,False
2013-03-24,18,False
2013-03-31,17,False
2013-04-07,19,False
2013-04-14,34,False
2013-04-21,19,False
2013-04-28,17,False
2013-05-05,25,False
2013-05-12,17,False
2013-05-19,48,False
2013-05-26,18,False
2013-06-02,31,False
2013-06-09,17,False
2013-06-16,17,False
2013-06-23,17,False
2013-06-30,28,False
2013-07-07,35,False
2013-07-14,44,False
2013-07-21,46,False
2013-07-28,29,False
2013-08-04,26,False
2013-08-11,18,False
2013-08-18,17,False
2013-08-25,25,False
2013-09-01,16,False
2013-09-08,18,False
2013-09-15,24,False
2013-09-22,16,False
2013-09-29,16,False
2013-10-06,26,False
2013-10-13,49,False
2013-10-20,36,False
2013-10-27,23,False
2013-11-03,16,False
2013-11-10,21,False
2013-11-17,16,False
2013-11-24,18,False
2013-12-01,23,False
2013-12-08,35,False
2013-12-15,18,False
2013-12-22,20,False
2013-12-29,43,False
2014-01-05,31,False
2014-01-12,15,False
2014-01-19,30,False
2014-01-26,22,False
2014-02-02,16,False
2014-02-09,29,False
2014-02-16,20,False
2014-02-23,21,False
2014-03-02,22,False
2014-03-09,30,False
2014-03-16,25,False
2014-03-23,32,False
2014-03-30,31,False
2014-04-06,30,False
2014-04-13,23,False
2014-04-20,22,False
2014-04-27,16,False
2014-05-04,59,False
2014-05-11,20,False
2014-05-18,23,False
2014-05-25,16,False
2014-06-01,19,False
2014-06-08,0,False
2014-06-15,22,False
2014-06-22,17,False
2014-06-29,17,False
2014-07-06,19,False
2014-07-13,17,False
2014-07-20,17,False
2014-07-27,0,False
2014-08-03,46,False
2014-08-10,18,False
2014-08-17,17,False
2014-08-24,32,False
2014-08-31,16,False
2014-09-07,25,False
2014-09-14,31,False
2014-09-21,21,False
2014-09-28,18,False
2014-10-05,31,False
2014-10-12,23,False
2014-10-19,35,False
2014-10-26,17,False
2014-11-02,15,False
2014-11-09,15,False
2014-11-16,17,False
2014-11-23,15,False
2014-11-30,21,False
2014-12-07,33,False
2014-12-14,26,False
2014-12-21,17,False
2014-12-28,25,False
2015-01-04,29,False
2015-01-11,16,False
2015-01-18,19,False
2015-01-25,23,False
2015-02-01,14,False
2015-02-08,20,False
2015-02-15,14,False
2015-02-22,24,False
2015-03-01,21,False
2015-03-08,19,False
2015-03-15,20,False
2015-03-22,15,False
2015-03-29,19,False
2015-04-05,14,False
2015-04-12,0,False
2015-04-19,22,False
2015-04-26,16,False
2015-05-03,32,False
2015-05-10,34,False
2015-05-17,31,False
2015-05-24,19,False
2015-05-31,14,False
2015-06-07,35,False
2015-06-14,32,False
2015-06-21,21,False
2015-06-28,21,False
2015-07-05,31,False
2015-07-12,36,False
2015-07-19,29,False
2015-07-26,15,False
2015-08-02,19,False
2015-08-09,56,False
2015-08-16,25,False
2015-08-23,33,False
2015-08-30,30,False
2015-09-06,27,False
2015-09-13,25,False
2015-09-20,18,False
2015-09-27,23,False
2015-10-04,19,False
2015-10-11,13,False
2015-10-18,20,False
2015-10-25,0,False
2015-11-01,17,False
2015-11-08,34,False
2015-11-15,22,False
2015-11-22,15,False
2015-11-29,26,False
2015-12-06,22,False
2015-12-13,25,False
2015-12-20,16,False
2015-12-27,15,False
2016-01-03,25,False
2016-01-10,34,False
2016-01-17,30,False
2016-01-24,23,False
2016-01-31,25,False
2016-02-07,14,False
2016-02-14,25,False
2016-02-21,21,False
2016-02-28,35,False
2016-03-06,18,False
2016-03-13,13,False
2016-03-20,19,False
2016-03-27,20,False
2016-04-03,14,False
2016-04-10,20,False
2016-04-17,15,False
2016-04-24,24,False
2016-05-01,27,False
2016-05-08,18,False
2016-05-15,18,False
2016-05-22,22,False
2016-05-29,28,False
2016-06-05,37,False
2016-06-12,34,False
2016-06-19,100,False
2016-06-26,56,False
2016-07-03,51,False
2016-07-10,42,False
2016-07-17,44,False
2016-07-24,36,False
2016-07-31,37,False
2016-08-07,28,False
2016-08-14,15,False
2016-08-21,22,False
2016-08-28,15,False
2016-09-04,14,False
2016-09-11,26,False
2016-09-18,35,False
2016-09-25,14,False
2016-10-02,33,False
2016-10-09,20,False
2016-10-16,29,False
2016-10-23,28,False
2016-10-30,29,False
2016-11-06,28,False
2016-11-13,33,False
2016-11-20,21,False
2016-11-27,22,False
2016-12-04,65,False
2016-12-11,39,False
2016-12-18,15,False
2016-12-25,0,False
2017-01-01,18,False
2017-01-08,14,False
2017-01-15,34,False
2017-01-22,19,False
2017-01-29,19,False
2017-02-05,19,False
2017-02-12,25,False
2017-02-19,29,False
2017-02-26,18,False
2017-03-05,19,False
2017-03-12,18,False
2017-03-19,31,False
2017-03-26,20,False
2017-04-02,13,False
2017-04-09,21,False
2017-04-16,40,False
2017-04-23,38,False
2017-04-30,14,False
2017-05-07,17,False
2017-05-14,13,False
2017-05-21,41,False
2017-05-28,22,False
2017-06-04,25,False
2017-06-11,14,False
2017-06-18,20,False
2017-06-25,23,False
2017-07-02,14,False
2017-07-09,14,False
2017-07-16,28,False
2017-07-23,40,False
2017-07-30,22,False
2017-08-06,24,False
2017-08-13,19,False
2017-08-20,15,False
2017-08-27,17,False
2017-09-03,19,False
2017-09-10,34,False
2017-09-17,38,False
2017-09-24,17,False
2017-10-01,22,False
2017-10-08,27,False
2017-10-15,19,False
2017-10-22,14,False
2017-10-29,23,False
2017-11-05,12,False
2017-11-12,13,False
2017-11-19,25,False
2017-11-26,32,False
2017-12-03,40,False
2017-12-10,12,False
2017-12-17,19,False
