date,HUFUSD,isPartial
2017-07-16,50,False
2017-07-23,0,False
2017-07-30,42,False
2017-08-06,0,False
2017-08-13,42,False
2017-08-20,36,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,35,False
2017-09-24,35,False
2017-10-01,47,False
2017-10-08,34,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,34,False
2017-11-05,0,False
2017-11-12,34,False
2017-11-19,34,False
2017-11-26,45,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,35,False
2017-12-24,38,False
2017-12-31,88,True
