date,CHFEUR,isPartial
2013-01-06,0,False
2013-01-13,7,False
2013-01-20,4,False
2013-01-27,5,False
2013-02-03,12,False
2013-02-10,4,False
2013-02-17,11,False
2013-02-24,7,False
2013-03-03,8,False
2013-03-10,9,False
2013-03-17,6,False
2013-03-24,7,False
2013-03-31,3,False
2013-04-07,8,False
2013-04-14,4,False
2013-04-21,3,False
2013-04-28,5,False
2013-05-05,4,False
2013-05-12,4,False
2013-05-19,8,False
2013-05-26,7,False
2013-06-02,4,False
2013-06-09,8,False
2013-06-16,7,False
2013-06-23,5,False
2013-06-30,3,False
2013-07-07,5,False
2013-07-14,5,False
2013-07-21,6,False
2013-07-28,3,False
2013-08-04,4,False
2013-08-11,3,False
2013-08-18,4,False
2013-08-25,3,False
2013-09-01,9,False
2013-09-08,0,False
2013-09-15,4,False
2013-09-22,5,False
2013-09-29,6,False
2013-10-06,4,False
2013-10-13,3,False
2013-10-20,4,False
2013-10-27,7,False
2013-11-03,7,False
2013-11-10,5,False
2013-11-17,4,False
2013-11-24,7,False
2013-12-01,4,False
2013-12-08,5,False
2013-12-15,4,False
2013-12-22,4,False
2013-12-29,12,False
2014-01-05,7,False
2014-01-12,7,False
2014-01-19,8,False
2014-01-26,8,False
2014-02-02,6,False
2014-02-09,9,False
2014-02-16,6,False
2014-02-23,4,False
2014-03-02,5,False
2014-03-09,5,False
2014-03-16,5,False
2014-03-23,3,False
2014-03-30,5,False
2014-04-06,3,False
2014-04-13,3,False
2014-04-20,3,False
2014-04-27,4,False
2014-05-04,5,False
2014-05-11,5,False
2014-05-18,11,False
2014-05-25,0,False
2014-06-01,5,False
2014-06-08,3,False
2014-06-15,3,False
2014-06-22,0,False
2014-06-29,3,False
2014-07-06,3,False
2014-07-13,6,False
2014-07-20,4,False
2014-07-27,4,False
2014-08-03,0,False
2014-08-10,3,False
2014-08-17,7,False
2014-08-24,0,False
2014-08-31,3,False
2014-09-07,4,False
2014-09-14,4,False
2014-09-21,4,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,6,False
2014-10-19,3,False
2014-10-26,5,False
2014-11-02,4,False
2014-11-09,6,False
2014-11-16,3,False
2014-11-23,4,False
2014-11-30,6,False
2014-12-07,3,False
2014-12-14,3,False
2014-12-21,5,False
2014-12-28,3,False
2015-01-04,7,False
2015-01-11,100,False
2015-01-18,76,False
2015-01-25,43,False
2015-02-01,23,False
2015-02-08,13,False
2015-02-15,12,False
2015-02-22,13,False
2015-03-01,13,False
2015-03-08,4,False
2015-03-15,12,False
2015-03-22,12,False
2015-03-29,7,False
2015-04-05,7,False
2015-04-12,14,False
2015-04-19,7,False
2015-04-26,7,False
2015-05-03,10,False
2015-05-10,6,False
2015-05-17,8,False
2015-05-24,6,False
2015-05-31,8,False
2015-06-07,6,False
2015-06-14,6,False
2015-06-21,7,False
2015-06-28,10,False
2015-07-05,12,False
2015-07-12,8,False
2015-07-19,9,False
2015-07-26,8,False
2015-08-02,6,False
2015-08-09,8,False
2015-08-16,9,False
2015-08-23,6,False
2015-08-30,7,False
2015-09-06,11,False
2015-09-13,9,False
2015-09-20,5,False
2015-09-27,4,False
2015-10-04,6,False
2015-10-11,7,False
2015-10-18,11,False
2015-10-25,5,False
2015-11-01,13,False
2015-11-08,3,False
2015-11-15,8,False
2015-11-22,3,False
2015-11-29,8,False
2015-12-06,9,False
2015-12-13,7,False
2015-12-20,8,False
2015-12-27,7,False
2016-01-03,6,False
2016-01-10,7,False
2016-01-17,4,False
2016-01-24,10,False
2016-01-31,9,False
2016-02-07,8,False
2016-02-14,6,False
2016-02-21,6,False
2016-02-28,7,False
2016-03-06,3,False
2016-03-13,5,False
2016-03-20,6,False
2016-03-27,6,False
2016-04-03,7,False
2016-04-10,3,False
2016-04-17,7,False
2016-04-24,4,False
2016-05-01,5,False
2016-05-08,3,False
2016-05-15,4,False
2016-05-22,4,False
2016-05-29,4,False
2016-06-05,6,False
2016-06-12,11,False
2016-06-19,17,False
2016-06-26,12,False
2016-07-03,8,False
2016-07-10,8,False
2016-07-17,5,False
2016-07-24,4,False
2016-07-31,3,False
2016-08-07,10,False
2016-08-14,7,False
2016-08-21,7,False
2016-08-28,5,False
2016-09-04,4,False
2016-09-11,8,False
2016-09-18,6,False
2016-09-25,4,False
2016-10-02,2,False
2016-10-09,4,False
2016-10-16,5,False
2016-10-23,4,False
2016-10-30,6,False
2016-11-06,12,False
2016-11-13,10,False
2016-11-20,5,False
2016-11-27,7,False
2016-12-04,8,False
2016-12-11,10,False
2016-12-18,3,False
2016-12-25,4,False
2017-01-01,2,False
2017-01-08,5,False
2017-01-15,3,False
2017-01-22,7,False
2017-01-29,5,False
2017-02-05,6,False
2017-02-12,2,False
2017-02-19,3,False
2017-02-26,7,False
2017-03-05,5,False
2017-03-12,6,False
2017-03-19,6,False
2017-03-26,5,False
2017-04-02,3,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,4,False
2017-04-30,7,False
2017-05-07,7,False
2017-05-14,4,False
2017-05-21,4,False
2017-05-28,4,False
2017-06-04,4,False
2017-06-11,3,False
2017-06-18,4,False
2017-06-25,5,False
2017-07-02,4,False
2017-07-09,6,False
2017-07-16,4,False
2017-07-23,5,False
2017-07-30,7,False
2017-08-06,10,False
2017-08-13,4,False
2017-08-20,8,False
2017-08-27,6,False
2017-09-03,10,False
2017-09-10,8,False
2017-09-17,7,False
2017-09-24,2,False
2017-10-01,3,False
2017-10-08,4,False
2017-10-15,4,False
2017-10-22,4,False
2017-10-29,11,False
2017-11-05,4,False
2017-11-12,6,False
2017-11-19,3,False
2017-11-26,2,False
2017-12-03,5,False
2017-12-10,2,False
2017-12-17,3,False
2017-12-24,5,False
2017-12-31,0,True
