date,USDMXN,isPartial
2017-01-01,21,False
2017-01-08,23,False
2017-01-15,21,False
2017-01-22,30,False
2017-01-29,18,False
2017-02-05,17,False
2017-02-12,14,False
2017-02-19,17,False
2017-02-26,14,False
2017-03-05,13,False
2017-03-12,14,False
2017-03-19,12,False
2017-03-26,12,False
2017-04-02,12,False
2017-04-09,9,False
2017-04-16,10,False
2017-04-23,17,False
2017-04-30,8,False
2017-05-07,11,False
2017-05-14,9,False
2017-05-21,11,False
2017-05-28,9,False
2017-06-04,12,False
2017-06-11,13,False
2017-06-18,11,False
2017-06-25,12,False
2017-07-02,8,False
2017-07-09,10,False
2017-07-16,10,False
2017-07-23,11,False
2017-07-30,7,False
2017-08-06,9,False
2017-08-13,8,False
2017-08-20,10,False
2017-08-27,7,False
2017-09-03,6,False
2017-09-10,6,False
2017-09-17,8,False
2017-09-24,9,False
2017-10-01,8,False
2017-10-08,12,False
2017-10-15,15,False
2017-10-22,12,False
2017-10-29,12,False
2017-11-05,7,False
2017-11-12,8,False
2017-11-19,7,False
2017-11-26,12,False
2017-12-03,10,False
2017-12-10,11,False
2017-12-17,14,False
2017-12-24,17,False
2017-12-31,9,True
