date,PENTRY,isPartial
2013-01-06,39,False
2013-01-13,22,False
2013-01-20,40,False
2013-01-27,39,False
2013-02-03,43,False
2013-02-10,36,False
2013-02-17,38,False
2013-02-24,29,False
2013-03-03,42,False
2013-03-10,28,False
2013-03-17,47,False
2013-03-24,26,False
2013-03-31,38,False
2013-04-07,39,False
2013-04-14,51,False
2013-04-21,45,False
2013-04-28,48,False
2013-05-05,61,False
2013-05-12,47,False
2013-05-19,41,False
2013-05-26,47,False
2013-06-02,40,False
2013-06-09,55,False
2013-06-16,39,False
2013-06-23,51,False
2013-06-30,31,False
2013-07-07,37,False
2013-07-14,50,False
2013-07-21,39,False
2013-07-28,41,False
2013-08-04,62,False
2013-08-11,48,False
2013-08-18,34,False
2013-08-25,35,False
2013-09-01,36,False
2013-09-08,52,False
2013-09-15,37,False
2013-09-22,39,False
2013-09-29,35,False
2013-10-06,27,False
2013-10-13,35,False
2013-10-20,35,False
2013-10-27,34,False
2013-11-03,36,False
2013-11-10,41,False
2013-11-17,45,False
2013-11-24,30,False
2013-12-01,36,False
2013-12-08,33,False
2013-12-15,28,False
2013-12-22,37,False
2013-12-29,30,False
2014-01-05,37,False
2014-01-12,45,False
2014-01-19,35,False
2014-01-26,43,False
2014-02-02,40,False
2014-02-09,37,False
2014-02-16,39,False
2014-02-23,32,False
2014-03-02,39,False
2014-03-09,39,False
2014-03-16,41,False
2014-03-23,37,False
2014-03-30,29,False
2014-04-06,59,False
2014-04-13,28,False
2014-04-20,41,False
2014-04-27,54,False
2014-05-04,57,False
2014-05-11,43,False
2014-05-18,49,False
2014-05-25,39,False
2014-06-01,53,False
2014-06-08,58,False
2014-06-15,39,False
2014-06-22,57,False
2014-06-29,37,False
2014-07-06,52,False
2014-07-13,64,False
2014-07-20,54,False
2014-07-27,64,False
2014-08-03,52,False
2014-08-10,56,False
2014-08-17,45,False
2014-08-24,46,False
2014-08-31,40,False
2014-09-07,46,False
2014-09-14,49,False
2014-09-21,39,False
2014-09-28,31,False
2014-10-05,38,False
2014-10-12,26,False
2014-10-19,44,False
2014-10-26,41,False
2014-11-02,37,False
2014-11-09,34,False
2014-11-16,39,False
2014-11-23,35,False
2014-11-30,51,False
2014-12-07,48,False
2014-12-14,43,False
2014-12-21,21,False
2014-12-28,40,False
2015-01-04,37,False
2015-01-11,33,False
2015-01-18,55,False
2015-01-25,45,False
2015-02-01,46,False
2015-02-08,68,False
2015-02-15,48,False
2015-02-22,33,False
2015-03-01,41,False
2015-03-08,42,False
2015-03-15,35,False
2015-03-22,43,False
2015-03-29,39,False
2015-04-05,37,False
2015-04-12,38,False
2015-04-19,39,False
2015-04-26,56,False
2015-05-03,54,False
2015-05-10,61,False
2015-05-17,59,False
2015-05-24,69,False
2015-05-31,61,False
2015-06-07,48,False
2015-06-14,66,False
2015-06-21,59,False
2015-06-28,54,False
2015-07-05,72,False
2015-07-12,62,False
2015-07-19,57,False
2015-07-26,49,False
2015-08-02,51,False
2015-08-09,60,False
2015-08-16,52,False
2015-08-23,63,False
2015-08-30,47,False
2015-09-06,50,False
2015-09-13,52,False
2015-09-20,41,False
2015-09-27,48,False
2015-10-04,34,False
2015-10-11,51,False
2015-10-18,28,False
2015-10-25,30,False
2015-11-01,54,False
2015-11-08,43,False
2015-11-15,45,False
2015-11-22,44,False
2015-11-29,40,False
2015-12-06,47,False
2015-12-13,53,False
2015-12-20,37,False
2015-12-27,38,False
2016-01-03,33,False
2016-01-10,42,False
2016-01-17,41,False
2016-01-24,49,False
2016-01-31,44,False
2016-02-07,46,False
2016-02-14,40,False
2016-02-21,43,False
2016-02-28,41,False
2016-03-06,41,False
2016-03-13,43,False
2016-03-20,36,False
2016-03-27,47,False
2016-04-03,60,False
2016-04-10,59,False
2016-04-17,60,False
2016-04-24,48,False
2016-05-01,54,False
2016-05-08,55,False
2016-05-15,59,False
2016-05-22,64,False
2016-05-29,52,False
2016-06-05,54,False
2016-06-12,60,False
2016-06-19,53,False
2016-06-26,41,False
2016-07-03,46,False
2016-07-10,63,False
2016-07-17,47,False
2016-07-24,73,False
2016-07-31,57,False
2016-08-07,69,False
2016-08-14,63,False
2016-08-21,52,False
2016-08-28,62,False
2016-09-04,53,False
2016-09-11,59,False
2016-09-18,56,False
2016-09-25,41,False
2016-10-02,46,False
2016-10-09,58,False
2016-10-16,50,False
2016-10-23,49,False
2016-10-30,35,False
2016-11-06,44,False
2016-11-13,63,False
2016-11-20,49,False
2016-11-27,50,False
2016-12-04,42,False
2016-12-11,44,False
2016-12-18,34,False
2016-12-25,42,False
2017-01-01,40,False
2017-01-08,41,False
2017-01-15,46,False
2017-01-22,47,False
2017-01-29,48,False
2017-02-05,48,False
2017-02-12,100,False
2017-02-19,58,False
2017-02-26,54,False
2017-03-05,49,False
2017-03-12,59,False
2017-03-19,50,False
2017-03-26,54,False
2017-04-02,50,False
2017-04-09,51,False
2017-04-16,58,False
2017-04-23,59,False
2017-04-30,59,False
2017-05-07,60,False
2017-05-14,66,False
2017-05-21,57,False
2017-05-28,58,False
2017-06-04,43,False
2017-06-11,58,False
2017-06-18,67,False
2017-06-25,69,False
2017-07-02,76,False
2017-07-09,75,False
2017-07-16,63,False
2017-07-23,64,False
2017-07-30,54,False
2017-08-06,66,False
2017-08-13,51,False
2017-08-20,61,False
2017-08-27,47,False
2017-09-03,54,False
2017-09-10,58,False
2017-09-17,66,False
2017-09-24,62,False
2017-10-01,42,False
2017-10-08,48,False
2017-10-15,54,False
2017-10-22,62,False
2017-10-29,67,False
2017-11-05,46,False
2017-11-12,57,False
2017-11-19,53,False
2017-11-26,59,False
2017-12-03,40,False
2017-12-10,50,False
2017-12-17,39,False
2017-12-24,32,False
2017-12-31,32,True
