date,AUDBRL,isPartial
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,29,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,28,False
2017-10-15,0,False
2017-10-22,37,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,True
