date,USDSGD,isPartial
2013-01-06,14,False
2013-01-13,26,False
2013-01-20,24,False
2013-01-27,36,False
2013-02-03,34,False
2013-02-10,24,False
2013-02-17,24,False
2013-02-24,20,False
2013-03-03,39,False
2013-03-10,33,False
2013-03-17,40,False
2013-03-24,34,False
2013-03-31,25,False
2013-04-07,17,False
2013-04-14,23,False
2013-04-21,25,False
2013-04-28,38,False
2013-05-05,25,False
2013-05-12,39,False
2013-05-19,20,False
2013-05-26,33,False
2013-06-02,31,False
2013-06-09,31,False
2013-06-16,35,False
2013-06-23,40,False
2013-06-30,43,False
2013-07-07,41,False
2013-07-14,38,False
2013-07-21,32,False
2013-07-28,41,False
2013-08-04,26,False
2013-08-11,39,False
2013-08-18,40,False
2013-08-25,21,False
2013-09-01,31,False
2013-09-08,41,False
2013-09-15,27,False
2013-09-22,34,False
2013-09-29,39,False
2013-10-06,30,False
2013-10-13,41,False
2013-10-20,31,False
2013-10-27,33,False
2013-11-03,26,False
2013-11-10,33,False
2013-11-17,36,False
2013-11-24,22,False
2013-12-01,21,False
2013-12-08,34,False
2013-12-15,27,False
2013-12-22,23,False
2013-12-29,23,False
2014-01-05,27,False
2014-01-12,28,False
2014-01-19,25,False
2014-01-26,34,False
2014-02-02,33,False
2014-02-09,31,False
2014-02-16,33,False
2014-02-23,27,False
2014-03-02,26,False
2014-03-09,23,False
2014-03-16,26,False
2014-03-23,29,False
2014-03-30,28,False
2014-04-06,38,False
2014-04-13,17,False
2014-04-20,23,False
2014-04-27,19,False
2014-05-04,29,False
2014-05-11,20,False
2014-05-18,26,False
2014-05-25,16,False
2014-06-01,24,False
2014-06-08,13,False
2014-06-15,13,False
2014-06-22,25,False
2014-06-29,18,False
2014-07-06,18,False
2014-07-13,35,False
2014-07-20,15,False
2014-07-27,20,False
2014-08-03,31,False
2014-08-10,43,False
2014-08-17,26,False
2014-08-24,22,False
2014-08-31,40,False
2014-09-07,38,False
2014-09-14,46,False
2014-09-21,44,False
2014-09-28,50,False
2014-10-05,43,False
2014-10-12,33,False
2014-10-19,27,False
2014-10-26,43,False
2014-11-02,44,False
2014-11-09,36,False
2014-11-16,49,False
2014-11-23,38,False
2014-11-30,32,False
2014-12-07,50,False
2014-12-14,45,False
2014-12-21,18,False
2014-12-28,23,False
2015-01-04,30,False
2015-01-11,35,False
2015-01-18,39,False
2015-01-25,65,False
2015-02-01,50,False
2015-02-08,32,False
2015-02-15,21,False
2015-02-22,49,False
2015-03-01,45,False
2015-03-08,62,False
2015-03-15,83,False
2015-03-22,74,False
2015-03-29,43,False
2015-04-05,69,False
2015-04-12,61,False
2015-04-19,54,False
2015-04-26,79,False
2015-05-03,43,False
2015-05-10,55,False
2015-05-17,41,False
2015-05-24,51,False
2015-05-31,47,False
2015-06-07,51,False
2015-06-14,51,False
2015-06-21,37,False
2015-06-28,60,False
2015-07-05,38,False
2015-07-12,32,False
2015-07-19,42,False
2015-07-26,46,False
2015-08-02,45,False
2015-08-09,96,False
2015-08-16,69,False
2015-08-23,100,False
2015-08-30,51,False
2015-09-06,59,False
2015-09-13,62,False
2015-09-20,43,False
2015-09-27,66,False
2015-10-04,66,False
2015-10-11,96,False
2015-10-18,79,False
2015-10-25,59,False
2015-11-01,36,False
2015-11-08,54,False
2015-11-15,51,False
2015-11-22,38,False
2015-11-29,33,False
2015-12-06,36,False
2015-12-13,57,False
2015-12-20,27,False
2015-12-27,26,False
2016-01-03,52,False
2016-01-10,48,False
2016-01-17,41,False
2016-01-24,37,False
2016-01-31,44,False
2016-02-07,55,False
2016-02-14,42,False
2016-02-21,33,False
2016-02-28,35,False
2016-03-06,54,False
2016-03-13,55,False
2016-03-20,46,False
2016-03-27,38,False
2016-04-03,54,False
2016-04-10,61,False
2016-04-17,67,False
2016-04-24,42,False
2016-05-01,57,False
2016-05-08,40,False
2016-05-15,42,False
2016-05-22,64,False
2016-05-29,61,False
