date,USDCNY,isPartial
2013-01-06,8,False
2013-01-13,8,False
2013-01-20,7,False
2013-01-27,5,False
2013-02-03,6,False
2013-02-10,4,False
2013-02-17,6,False
2013-02-24,8,False
2013-03-03,7,False
2013-03-10,6,False
2013-03-17,5,False
2013-03-24,8,False
2013-03-31,6,False
2013-04-07,5,False
2013-04-14,7,False
2013-04-21,14,False
2013-04-28,8,False
2013-05-05,11,False
2013-05-12,7,False
2013-05-19,14,False
2013-05-26,11,False
2013-06-02,8,False
2013-06-09,11,False
2013-06-16,8,False
2013-06-23,14,False
2013-06-30,10,False
2013-07-07,10,False
2013-07-14,10,False
2013-07-21,5,False
2013-07-28,7,False
2013-08-04,7,False
2013-08-11,9,False
2013-08-18,9,False
2013-08-25,11,False
2013-09-01,6,False
2013-09-08,6,False
2013-09-15,7,False
2013-09-22,9,False
2013-09-29,3,False
2013-10-06,3,False
2013-10-13,11,False
2013-10-20,9,False
2013-10-27,5,False
2013-11-03,9,False
2013-11-10,10,False
2013-11-17,11,False
2013-11-24,7,False
2013-12-01,9,False
2013-12-08,7,False
2013-12-15,10,False
2013-12-22,7,False
2013-12-29,10,False
2014-01-05,9,False
2014-01-12,12,False
2014-01-19,7,False
2014-01-26,8,False
2014-02-02,6,False
2014-02-09,11,False
2014-02-16,14,False
2014-02-23,43,False
2014-03-02,24,False
2014-03-09,20,False
2014-03-16,43,False
2014-03-23,32,False
2014-03-30,20,False
2014-04-06,18,False
2014-04-13,13,False
2014-04-20,20,False
2014-04-27,22,False
2014-05-04,19,False
2014-05-11,14,False
2014-05-18,9,False
2014-05-25,14,False
2014-06-01,6,False
2014-06-08,14,False
2014-06-15,9,False
2014-06-22,10,False
2014-06-29,7,False
2014-07-06,6,False
2014-07-13,6,False
2014-07-20,7,False
2014-07-27,8,False
2014-08-03,9,False
2014-08-10,6,False
2014-08-17,5,False
2014-08-24,7,False
2014-08-31,8,False
2014-09-07,13,False
2014-09-14,9,False
2014-09-21,9,False
2014-09-28,6,False
2014-10-05,9,False
2014-10-12,7,False
2014-10-19,4,False
2014-10-26,5,False
2014-11-02,9,False
2014-11-09,9,False
2014-11-16,11,False
2014-11-23,11,False
2014-11-30,8,False
2014-12-07,20,False
2014-12-14,16,False
2014-12-21,9,False
2014-12-28,8,False
2015-01-04,13,False
2015-01-11,13,False
2015-01-18,18,False
2015-01-25,19,False
2015-02-01,19,False
2015-02-08,11,False
2015-02-15,11,False
2015-02-22,16,False
2015-03-01,17,False
2015-03-08,14,False
2015-03-15,14,False
2015-03-22,14,False
2015-03-29,13,False
2015-04-05,10,False
2015-04-12,11,False
2015-04-19,9,False
2015-04-26,10,False
2015-05-03,10,False
2015-05-10,5,False
2015-05-17,7,False
2015-05-24,6,False
2015-05-31,9,False
2015-06-07,5,False
2015-06-14,8,False
2015-06-21,7,False
2015-06-28,5,False
2015-07-05,14,False
2015-07-12,7,False
2015-07-19,10,False
2015-07-26,10,False
2015-08-02,7,False
2015-08-09,98,False
2015-08-16,38,False
2015-08-23,37,False
2015-08-30,24,False
2015-09-06,16,False
2015-09-13,17,False
2015-09-20,14,False
2015-09-27,11,False
2015-10-04,11,False
2015-10-11,11,False
2015-10-18,9,False
2015-10-25,19,False
2015-11-01,17,False
2015-11-08,14,False
2015-11-15,16,False
2015-11-22,12,False
2015-11-29,25,False
2015-12-06,26,False
2015-12-13,30,False
2015-12-20,11,False
2015-12-27,19,False
2016-01-03,63,False
2016-01-10,46,False
2016-01-17,29,False
2016-01-24,23,False
2016-01-31,24,False
2016-02-07,16,False
2016-02-14,28,False
2016-02-21,16,False
2016-02-28,21,False
2016-03-06,13,False
2016-03-13,16,False
2016-03-20,18,False
2016-03-27,14,False
2016-04-03,10,False
2016-04-10,9,False
2016-04-17,12,False
2016-04-24,15,False
2016-05-01,13,False
2016-05-08,10,False
2016-05-15,10,False
2016-05-22,14,False
2016-05-29,23,False
2016-06-05,12,False
2016-06-12,20,False
2016-06-19,23,False
2016-06-26,32,False
2016-07-03,22,False
2016-07-10,17,False
2016-07-17,15,False
2016-07-24,12,False
2016-07-31,15,False
