date,EURCZK,isPartial
2013-01-06,14,False
2013-01-13,12,False
2013-01-20,9,False
2013-01-27,9,False
2013-02-03,11,False
2013-02-10,8,False
2013-02-17,8,False
2013-02-24,8,False
2013-03-03,8,False
2013-03-10,8,False
2013-03-17,13,False
2013-03-24,8,False
2013-03-31,8,False
2013-04-07,8,False
2013-04-14,12,False
2013-04-21,16,False
2013-04-28,0,False
2013-05-05,14,False
2013-05-12,16,False
2013-05-19,14,False
2013-05-26,16,False
2013-06-02,8,False
2013-06-09,20,False
2013-06-16,8,False
2013-06-23,8,False
2013-06-30,0,False
2013-07-07,8,False
2013-07-14,18,False
2013-07-21,8,False
2013-07-28,13,False
2013-08-04,17,False
2013-08-11,15,False
2013-08-18,13,False
2013-08-25,19,False
2013-09-01,10,False
2013-09-08,11,False
2013-09-15,16,False
2013-09-22,15,False
2013-09-29,12,False
2013-10-06,13,False
2013-10-13,10,False
2013-10-20,13,False
2013-10-27,10,False
2013-11-03,15,False
2013-11-10,18,False
2013-11-17,21,False
2013-11-24,14,False
2013-12-01,9,False
2013-12-08,15,False
2013-12-15,11,False
2013-12-22,0,False
2013-12-29,15,False
2014-01-05,12,False
2014-01-12,17,False
2014-01-19,14,False
2014-01-26,7,False
2014-02-02,18,False
2014-02-09,22,False
2014-02-16,12,False
2014-02-23,14,False
2014-03-02,15,False
2014-03-09,18,False
2014-03-16,11,False
2014-03-23,7,False
2014-03-30,7,False
2014-04-06,13,False
2014-04-13,21,False
2014-04-20,13,False
2014-04-27,15,False
2014-05-04,10,False
2014-05-11,8,False
2014-05-18,11,False
2014-05-25,8,False
2014-06-01,10,False
2014-06-08,8,False
2014-06-15,11,False
2014-06-22,8,False
2014-06-29,8,False
2014-07-06,13,False
2014-07-13,8,False
2014-07-20,12,False
2014-07-27,11,False
2014-08-03,24,False
2014-08-10,8,False
2014-08-17,13,False
2014-08-24,12,False
2014-08-31,12,False
2014-09-07,7,False
2014-09-14,10,False
2014-09-21,8,False
2014-09-28,11,False
2014-10-05,11,False
2014-10-12,12,False
2014-10-19,12,False
2014-10-26,20,False
2014-11-02,11,False
2014-11-09,12,False
2014-11-16,14,False
2014-11-23,14,False
2014-11-30,15,False
2014-12-07,7,False
2014-12-14,7,False
2014-12-21,9,False
2014-12-28,11,False
2015-01-04,16,False
2015-01-11,37,False
2015-01-18,16,False
2015-01-25,14,False
2015-02-01,12,False
2015-02-08,15,False
2015-02-15,21,False
2015-02-22,19,False
2015-03-01,20,False
2015-03-08,17,False
2015-03-15,10,False
2015-03-22,15,False
2015-03-29,14,False
2015-04-05,11,False
2015-04-12,10,False
2015-04-19,11,False
2015-04-26,10,False
2015-05-03,7,False
2015-05-10,11,False
2015-05-17,20,False
2015-05-24,14,False
2015-05-31,16,False
2015-06-07,9,False
2015-06-14,9,False
2015-06-21,19,False
2015-06-28,26,False
2015-07-05,20,False
2015-07-12,22,False
2015-07-19,14,False
2015-07-26,12,False
2015-08-02,13,False
2015-08-09,11,False
2015-08-16,12,False
2015-08-23,16,False
2015-08-30,14,False
2015-09-06,20,False
2015-09-13,8,False
2015-09-20,10,False
2015-09-27,11,False
2015-10-04,9,False
2015-10-11,9,False
2015-10-18,11,False
2015-10-25,10,False
2015-11-01,8,False
