date,USDCNH,isPartial
2017-02-26,12,False
2017-03-05,9,False
2017-03-12,15,False
2017-03-19,12,False
2017-03-26,10,False
2017-04-02,8,False
2017-04-09,10,False
2017-04-16,6,False
2017-04-23,7,False
2017-04-30,4,False
2017-05-07,6,False
2017-05-14,7,False
2017-05-21,7,False
2017-05-28,18,False
2017-06-04,12,False
2017-06-11,7,False
2017-06-18,6,False
2017-06-25,11,False
2017-07-02,5,False
2017-07-09,6,False
2017-07-16,5,False
2017-07-23,6,False
2017-07-30,4,False
2017-08-06,14,False
2017-08-13,10,False
2017-08-20,12,False
2017-08-27,11,False
2017-09-03,11,False
2017-09-10,12,False
2017-09-17,11,False
2017-09-24,8,False
2017-10-01,8,False
2017-10-08,13,False
2017-10-15,8,False
2017-10-22,8,False
2017-10-29,5,False
2017-11-05,7,False
2017-11-12,7,False
2017-11-19,6,False
2017-11-26,4,False
2017-12-03,5,False
2017-12-10,6,False
2017-12-17,5,False
2017-12-24,9,False
2017-12-31,20,True
