date,KRWUSD,isPartial
2013-01-06,34,False
2013-01-13,44,False
2013-01-20,33,False
2013-01-27,0,False
2013-02-03,33,False
2013-02-10,29,False
2013-02-17,0,False
2013-02-24,38,False
2013-03-03,29,False
2013-03-10,37,False
2013-03-17,40,False
2013-03-24,0,False
2013-03-31,32,False
2013-04-07,0,False
2013-04-14,64,False
2013-04-21,28,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,37,False
2013-05-26,28,False
2013-06-02,40,False
2013-06-09,0,False
2013-06-16,31,False
2013-06-23,29,False
2013-06-30,67,False
2013-07-07,58,False
2013-07-14,29,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,29,False
2013-08-11,0,False
2013-08-18,37,False
2013-08-25,54,False
2013-09-01,27,False
2013-09-08,27,False
2013-09-15,71,False
2013-09-22,0,False
2013-09-29,27,False
2013-10-06,27,False
2013-10-13,27,False
2013-10-20,26,False
2013-10-27,0,False
2013-11-03,70,False
2013-11-10,39,False
2013-11-17,0,False
2013-11-24,45,False
2013-12-01,0,False
2013-12-08,34,False
2013-12-15,36,False
2013-12-22,0,False
2013-12-29,37,False
2014-01-05,34,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,33,False
2014-02-09,41,False
2014-02-16,24,False
2014-02-23,28,False
2014-03-02,25,False
2014-03-09,0,False
2014-03-16,65,False
2014-03-23,44,False
2014-03-30,0,False
2014-04-06,36,False
2014-04-13,0,False
2014-04-20,25,False
2014-04-27,25,False
2014-05-04,0,False
2014-05-11,24,False
2014-05-18,26,False
2014-05-25,0,False
2014-06-01,27,False
2014-06-08,27,False
2014-06-15,0,False
2014-06-22,28,False
2014-06-29,28,False
2014-07-06,0,False
2014-07-13,32,False
2014-07-20,0,False
2014-07-27,32,False
2014-08-03,66,False
2014-08-10,28,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,35,False
2014-09-07,47,False
2014-09-14,26,False
2014-09-21,69,False
2014-09-28,39,False
2014-10-05,26,False
2014-10-12,0,False
2014-10-19,28,False
2014-10-26,0,False
2014-11-02,50,False
2014-11-09,97,False
2014-11-16,25,False
2014-11-23,25,False
2014-11-30,0,False
2014-12-07,50,False
2014-12-14,29,False
2014-12-21,28,False
2014-12-28,27,False
2015-01-04,32,False
2015-01-11,24,False
2015-01-18,27,False
2015-01-25,40,False
2015-02-01,23,False
2015-02-08,93,False
2015-02-15,0,False
2015-02-22,0,False
2015-03-01,25,False
2015-03-08,23,False
2015-03-15,31,False
2015-03-22,50,False
2015-03-29,0,False
2015-04-05,27,False
2015-04-12,0,False
2015-04-19,0,False
2015-04-26,31,False
2015-05-03,0,False
2015-05-10,23,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,24,False
2015-06-07,24,False
2015-06-14,31,False
2015-06-21,23,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,41,False
2015-07-19,35,False
2015-07-26,31,False
2015-08-02,47,False
2015-08-09,31,False
2015-08-16,40,False
2015-08-23,23,False
2015-08-30,30,False
2015-09-06,0,False
2015-09-13,29,False
2015-09-20,30,False
2015-09-27,0,False
2015-10-04,21,False
2015-10-11,0,False
2015-10-18,28,False
2015-10-25,22,False
2015-11-01,21,False
2015-11-08,28,False
2015-11-15,0,False
2015-11-22,21,False
2015-11-29,43,False
2015-12-06,23,False
2015-12-13,43,False
2015-12-20,66,False
2015-12-27,0,False
2016-01-03,46,False
2016-01-10,25,False
2016-01-17,26,False
2016-01-24,0,False
2016-01-31,22,False
2016-02-07,0,False
2016-02-14,44,False
2016-02-21,22,False
2016-02-28,0,False
2016-03-06,0,False
2016-03-13,30,False
2016-03-20,23,False
2016-03-27,23,False
2016-04-03,22,False
2016-04-10,0,False
2016-04-17,0,False
2016-04-24,29,False
2016-05-01,30,False
2016-05-08,22,False
2016-05-15,38,False
2016-05-22,67,False
2016-05-29,25,False
2016-06-05,34,False
2016-06-12,0,False
2016-06-19,57,False
2016-06-26,26,False
2016-07-03,24,False
2016-07-10,24,False
2016-07-17,0,False
2016-07-24,32,False
2016-07-31,24,False
2016-08-07,33,False
2016-08-14,0,False
2016-08-21,28,False
2016-08-28,23,False
2016-09-04,23,False
2016-09-11,47,False
2016-09-18,26,False
2016-09-25,23,False
2016-10-02,39,False
2016-10-09,23,False
2016-10-16,0,False
2016-10-23,23,False
2016-10-30,23,False
2016-11-06,25,False
2016-11-13,0,False
2016-11-20,45,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,25,False
2016-12-18,23,False
2016-12-25,24,False
2017-01-01,0,False
2017-01-08,48,False
2017-01-15,21,False
2017-01-22,31,False
2017-01-29,24,False
2017-02-05,0,False
2017-02-12,23,False
2017-02-19,0,False
2017-02-26,23,False
