date,GBPKRW,isPartial
2017-07-16,55,False
2017-07-23,35,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,35,False
2017-08-20,34,False
2017-08-27,26,False
2017-09-03,0,False
2017-09-10,25,False
2017-09-17,25,False
2017-09-24,25,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,28,False
2017-11-12,24,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,74,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,True
