date,EURCNY,isPartial
2013-01-06,68,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,42,False
2013-02-03,17,False
2013-02-10,17,False
2013-02-17,17,False
2013-02-24,25,False
2013-03-03,17,False
2013-03-10,33,False
2013-03-17,0,False
2013-03-24,22,False
2013-03-31,18,False
2013-04-07,0,False
2013-04-14,22,False
2013-04-21,24,False
2013-04-28,17,False
2013-05-05,22,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,19,False
2013-06-02,33,False
2013-06-09,18,False
2013-06-16,0,False
2013-06-23,33,False
2013-06-30,29,False
2013-07-07,19,False
2013-07-14,52,False
2013-07-21,17,False
2013-07-28,0,False
2013-08-04,0,False
2013-08-11,17,False
2013-08-18,28,False
2013-08-25,16,False
2013-09-01,16,False
2013-09-08,27,False
2013-09-15,21,False
2013-09-22,17,False
2013-09-29,23,False
2013-10-06,36,False
2013-10-13,24,False
2013-10-20,17,False
2013-10-27,28,False
2013-11-03,28,False
2013-11-10,28,False
2013-11-17,17,False
2013-11-24,31,False
2013-12-01,17,False
2013-12-08,30,False
2013-12-15,23,False
2013-12-22,30,False
2013-12-29,28,False
2014-01-05,22,False
2014-01-12,19,False
2014-01-19,25,False
2014-01-26,25,False
2014-02-02,25,False
2014-02-09,16,False
2014-02-16,21,False
2014-02-23,36,False
2014-03-02,25,False
2014-03-09,29,False
2014-03-16,33,False
2014-03-23,21,False
2014-03-30,16,False
2014-04-06,44,False
2014-04-13,15,False
2014-04-20,39,False
2014-04-27,21,False
2014-05-04,19,False
2014-05-11,26,False
2014-05-18,31,False
2014-05-25,32,False
2014-06-01,40,False
2014-06-08,0,False
2014-06-15,16,False
2014-06-22,25,False
2014-06-29,19,False
2014-07-06,16,False
2014-07-13,33,False
2014-07-20,28,False
2014-07-27,0,False
2014-08-03,23,False
2014-08-10,0,False
2014-08-17,16,False
2014-08-24,0,False
2014-08-31,23,False
2014-09-07,46,False
2014-09-14,15,False
2014-09-21,27,False
2014-09-28,31,False
2014-10-05,15,False
2014-10-12,30,False
2014-10-19,0,False
