date,GBPEUR,isPartial
2013-01-06,6,False
2013-01-13,6,False
2013-01-20,5,False
2013-01-27,8,False
2013-02-03,7,False
2013-02-10,7,False
2013-02-17,7,False
2013-02-24,8,False
2013-03-03,5,False
2013-03-10,7,False
2013-03-17,10,False
2013-03-24,9,False
2013-03-31,6,False
2013-04-07,5,False
2013-04-14,7,False
2013-04-21,6,False
2013-04-28,9,False
2013-05-05,6,False
2013-05-12,4,False
2013-05-19,6,False
2013-05-26,7,False
2013-06-02,6,False
2013-06-09,4,False
2013-06-16,3,False
2013-06-23,6,False
2013-06-30,6,False
2013-07-07,5,False
2013-07-14,8,False
2013-07-21,6,False
2013-07-28,5,False
2013-08-04,6,False
2013-08-11,5,False
2013-08-18,5,False
2013-08-25,5,False
2013-09-01,5,False
2013-09-08,3,False
2013-09-15,6,False
2013-09-22,5,False
2013-09-29,7,False
2013-10-06,4,False
2013-10-13,4,False
2013-10-20,5,False
2013-10-27,5,False
2013-11-03,6,False
2013-11-10,5,False
2013-11-17,6,False
2013-11-24,6,False
2013-12-01,5,False
2013-12-08,5,False
2013-12-15,4,False
2013-12-22,4,False
2013-12-29,6,False
2014-01-05,6,False
2014-01-12,6,False
2014-01-19,6,False
2014-01-26,6,False
2014-02-02,6,False
2014-02-09,4,False
2014-02-16,5,False
2014-02-23,6,False
2014-03-02,7,False
2014-03-09,6,False
2014-03-16,4,False
2014-03-23,5,False
2014-03-30,6,False
2014-04-06,5,False
2014-04-13,3,False
2014-04-20,5,False
2014-04-27,6,False
2014-05-04,6,False
2014-05-11,4,False
2014-05-18,5,False
2014-05-25,5,False
2014-06-01,7,False
2014-06-08,7,False
2014-06-15,7,False
2014-06-22,6,False
2014-06-29,6,False
2014-07-06,3,False
2014-07-13,6,False
2014-07-20,8,False
2014-07-27,8,False
2014-08-03,8,False
2014-08-10,5,False
2014-08-17,5,False
2014-08-24,5,False
2014-08-31,9,False
2014-09-07,8,False
2014-09-14,10,False
2014-09-21,10,False
2014-09-28,7,False
2014-10-05,5,False
2014-10-12,9,False
2014-10-19,5,False
2014-10-26,6,False
2014-11-02,7,False
2014-11-09,6,False
2014-11-16,6,False
2014-11-23,5,False
2014-11-30,6,False
2014-12-07,5,False
2014-12-14,10,False
2014-12-21,5,False
2014-12-28,7,False
2015-01-04,10,False
2015-01-11,16,False
2015-01-18,20,False
2015-01-25,18,False
2015-02-01,10,False
2015-02-08,10,False
2015-02-15,11,False
2015-02-22,10,False
2015-03-01,14,False
2015-03-08,26,False
2015-03-15,16,False
2015-03-22,13,False
2015-03-29,14,False
2015-04-05,12,False
2015-04-12,11,False
2015-04-19,9,False
2015-04-26,9,False
2015-05-03,17,False
2015-05-10,16,False
2015-05-17,13,False
2015-05-24,12,False
2015-05-31,10,False
2015-06-07,9,False
2015-06-14,15,False
2015-06-21,16,False
2015-06-28,30,False
2015-07-05,24,False
2015-07-12,25,False
2015-07-19,20,False
2015-07-26,16,False
2015-08-02,15,False
2015-08-09,8,False
2015-08-16,11,False
2015-08-23,20,False
2015-08-30,10,False
2015-09-06,11,False
2015-09-13,10,False
2015-09-20,9,False
2015-09-27,7,False
2015-10-04,6,False
2015-10-11,7,False
2015-10-18,9,False
2015-10-25,10,False
2015-11-01,11,False
2015-11-08,12,False
2015-11-15,12,False
2015-11-22,11,False
2015-11-29,12,False
2015-12-06,9,False
2015-12-13,10,False
2015-12-20,8,False
2015-12-27,8,False
2016-01-03,11,False
2016-01-10,9,False
2016-01-17,14,False
2016-01-24,11,False
2016-01-31,11,False
2016-02-07,12,False
2016-02-14,9,False
2016-02-21,20,False
2016-02-28,13,False
2016-03-06,15,False
2016-03-13,11,False
2016-03-20,15,False
2016-03-27,6,False
2016-04-03,9,False
2016-04-10,11,False
2016-04-17,10,False
2016-04-24,12,False
2016-05-01,10,False
2016-05-08,9,False
2016-05-15,10,False
2016-05-22,14,False
2016-05-29,11,False
2016-06-05,15,False
2016-06-12,20,False
2016-06-19,100,False
2016-06-26,75,False
2016-07-03,44,False
2016-07-10,33,False
2016-07-17,19,False
2016-07-24,16,False
2016-07-31,18,False
2016-08-07,14,False
2016-08-14,16,False
2016-08-21,14,False
2016-08-28,15,False
2016-09-04,14,False
2016-09-11,12,False
2016-09-18,12,False
2016-09-25,9,False
2016-10-02,35,False
2016-10-09,29,False
2016-10-16,18,False
2016-10-23,16,False
2016-10-30,23,False
2016-11-06,24,False
2016-11-13,17,False
2016-11-20,21,False
2016-11-27,20,False
2016-12-04,23,False
2016-12-11,14,False
2016-12-18,14,False
2016-12-25,10,False
2017-01-01,11,False
2017-01-08,14,False
2017-01-15,27,False
2017-01-22,17,False
2017-01-29,15,False
2017-02-05,12,False
2017-02-12,14,False
2017-02-19,11,False
2017-02-26,13,False
2017-03-05,11,False
2017-03-12,15,False
2017-03-19,12,False
2017-03-26,23,False
2017-04-02,13,False
2017-04-09,10,False
2017-04-16,18,False
2017-04-23,19,False
2017-04-30,10,False
2017-05-07,14,False
2017-05-14,10,False
2017-05-21,14,False
2017-05-28,12,False
2017-06-04,27,False
2017-06-11,15,False
2017-06-18,12,False
2017-06-25,12,False
2017-07-02,10,False
2017-07-09,10,False
2017-07-16,14,False
