date,CHFUSD,isPartial
2013-01-06,6,False
2013-01-13,14,False
2013-01-20,9,False
2013-01-27,6,False
2013-02-03,13,False
2013-02-10,7,False
2013-02-17,7,False
2013-02-24,6,False
2013-03-03,11,False
2013-03-10,8,False
2013-03-17,11,False
2013-03-24,8,False
2013-03-31,4,False
2013-04-07,8,False
2013-04-14,7,False
2013-04-21,4,False
2013-04-28,7,False
2013-05-05,4,False
2013-05-12,11,False
2013-05-19,13,False
2013-05-26,8,False
2013-06-02,4,False
2013-06-09,13,False
2013-06-16,7,False
2013-06-23,4,False
2013-06-30,7,False
2013-07-07,20,False
2013-07-14,9,False
2013-07-21,10,False
2013-07-28,6,False
2013-08-04,9,False
2013-08-11,5,False
2013-08-18,8,False
2013-08-25,9,False
2013-09-01,9,False
2013-09-08,7,False
2013-09-15,14,False
2013-09-22,10,False
2013-09-29,8,False
2013-10-06,4,False
2013-10-13,8,False
2013-10-20,10,False
2013-10-27,9,False
2013-11-03,7,False
2013-11-10,6,False
2013-11-17,5,False
2013-11-24,6,False
2013-12-01,5,False
2013-12-08,6,False
2013-12-15,7,False
2013-12-22,6,False
2013-12-29,9,False
2014-01-05,8,False
2014-01-12,10,False
2014-01-19,16,False
2014-01-26,10,False
2014-02-02,10,False
2014-02-09,10,False
2014-02-16,6,False
2014-02-23,10,False
2014-03-02,10,False
2014-03-09,8,False
2014-03-16,11,False
2014-03-23,13,False
2014-03-30,4,False
2014-04-06,3,False
2014-04-13,10,False
2014-04-20,3,False
2014-04-27,7,False
2014-05-04,8,False
2014-05-11,5,False
2014-05-18,4,False
2014-05-25,8,False
2014-06-01,9,False
2014-06-08,7,False
2014-06-15,7,False
2014-06-22,6,False
2014-06-29,7,False
2014-07-06,6,False
2014-07-13,8,False
2014-07-20,7,False
2014-07-27,10,False
2014-08-03,9,False
2014-08-10,4,False
2014-08-17,6,False
2014-08-24,8,False
2014-08-31,6,False
2014-09-07,11,False
2014-09-14,7,False
2014-09-21,9,False
2014-09-28,9,False
2014-10-05,6,False
2014-10-12,16,False
2014-10-19,7,False
2014-10-26,7,False
2014-11-02,11,False
2014-11-09,10,False
2014-11-16,11,False
2014-11-23,7,False
2014-11-30,10,False
2014-12-07,9,False
2014-12-14,6,False
2014-12-21,9,False
2014-12-28,5,False
2015-01-04,7,False
2015-01-11,100,False
2015-01-18,36,False
2015-01-25,19,False
2015-02-01,9,False
2015-02-08,15,False
2015-02-15,14,False
2015-02-22,13,False
2015-03-01,7,False
2015-03-08,16,False
2015-03-15,11,False
2015-03-22,10,False
2015-03-29,7,False
2015-04-05,10,False
2015-04-12,9,False
2015-04-19,6,False
2015-04-26,14,False
2015-05-03,8,False
2015-05-10,18,False
2015-05-17,5,False
2015-05-24,5,False
2015-05-31,6,False
2015-06-07,10,False
2015-06-14,9,False
2015-06-21,11,False
2015-06-28,8,False
2015-07-05,9,False
2015-07-12,11,False
2015-07-19,9,False
2015-07-26,8,False
2015-08-02,6,False
2015-08-09,8,False
2015-08-16,9,False
2015-08-23,20,False
2015-08-30,6,False
2015-09-06,6,False
2015-09-13,4,False
2015-09-20,3,False
2015-09-27,6,False
2015-10-04,11,False
2015-10-11,6,False
2015-10-18,5,False
2015-10-25,3,False
2015-11-01,6,False
2015-11-08,7,False
2015-11-15,7,False
2015-11-22,15,False
2015-11-29,10,False
2015-12-06,8,False
2015-12-13,9,False
2015-12-20,4,False
2015-12-27,9,False
2016-01-03,8,False
2016-01-10,3,False
2016-01-17,6,False
2016-01-24,9,False
2016-01-31,6,False
2016-02-07,0,False
2016-02-14,3,False
2016-02-21,5,False
2016-02-28,5,False
2016-03-06,9,False
2016-03-13,4,False
2016-03-20,7,False
2016-03-27,12,False
