date,AUDTRY,isPartial
2013-01-06,19,False
2013-01-13,24,False
2013-01-20,0,False
2013-01-27,14,False
2013-02-03,14,False
2013-02-10,19,False
2013-02-17,0,False
2013-02-24,18,False
2013-03-03,14,False
2013-03-10,15,False
2013-03-17,18,False
2013-03-24,21,False
2013-03-31,14,False
2013-04-07,0,False
2013-04-14,14,False
2013-04-21,28,False
2013-04-28,0,False
2013-05-05,14,False
2013-05-12,15,False
2013-05-19,0,False
2013-05-26,15,False
2013-06-02,27,False
2013-06-09,15,False
2013-06-16,14,False
2013-06-23,0,False
2013-06-30,14,False
2013-07-07,19,False
2013-07-14,16,False
2013-07-21,0,False
2013-07-28,28,False
2013-08-04,28,False
2013-08-11,16,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,13,False
2013-09-15,19,False
2013-09-22,15,False
2013-09-29,13,False
2013-10-06,13,False
2013-10-13,0,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,13,False
2013-11-17,0,False
2013-11-24,34,False
2013-12-01,14,False
2013-12-08,13,False
2013-12-15,13,False
2013-12-22,14,False
2013-12-29,14,False
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,12,False
2014-01-26,20,False
2014-02-02,16,False
2014-02-09,13,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,12,False
2014-03-16,12,False
2014-03-23,12,False
2014-03-30,16,False
2014-04-06,16,False
2014-04-13,0,False
2014-04-20,14,False
2014-04-27,0,False
2014-05-04,24,False
2014-05-11,12,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,13,False
2014-06-08,13,False
2014-06-15,13,False
2014-06-22,27,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,27,False
2014-07-20,18,False
2014-07-27,0,False
2014-08-03,26,False
2014-08-10,0,False
2014-08-17,20,False
2014-08-24,24,False
2014-08-31,15,False
2014-09-07,25,False
2014-09-14,13,False
2014-09-21,21,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,0,False
2014-10-19,12,False
2014-10-26,0,False
2014-11-02,12,False
2014-11-09,0,False
2014-11-16,12,False
2014-11-23,16,False
2014-11-30,13,False
2014-12-07,12,False
2014-12-14,21,False
2014-12-21,36,False
2014-12-28,0,False
2015-01-04,20,False
2015-01-11,12,False
2015-01-18,15,False
2015-01-25,17,False
2015-02-01,11,False
2015-02-08,0,False
2015-02-15,16,False
2015-02-22,11,False
2015-03-01,13,False
2015-03-08,26,False
2015-03-15,26,False
2015-03-22,33,False
2015-03-29,20,False
2015-04-05,0,False
2015-04-12,30,False
2015-04-19,19,False
2015-04-26,11,False
2015-05-03,11,False
2015-05-10,19,False
2015-05-17,23,False
2015-05-24,0,False
2015-05-31,23,False
2015-06-07,0,False
2015-06-14,12,False
2015-06-21,34,False
2015-06-28,35,False
2015-07-05,11,False
2015-07-12,13,False
2015-07-19,12,False
2015-07-26,21,False
2015-08-02,17,False
2015-08-09,11,False
2015-08-16,0,False
2015-08-23,22,False
2015-08-30,11,False
2015-09-06,16,False
2015-09-13,11,False
2015-09-20,43,False
2015-09-27,18,False
2015-10-04,14,False
2015-10-11,18,False
2015-10-18,14,False
2015-10-25,0,False
2015-11-01,10,False
2015-11-08,0,False
2015-11-15,14,False
2015-11-22,12,False
2015-11-29,0,False
2015-12-06,21,False
2015-12-13,11,False
2015-12-20,12,False
2015-12-27,16,False
2016-01-03,11,False
2016-01-10,20,False
2016-01-17,29,False
2016-01-24,0,False
2016-01-31,0,False
2016-02-07,11,False
2016-02-14,0,False
2016-02-21,14,False
2016-02-28,0,False
2016-03-06,11,False
2016-03-13,12,False
2016-03-20,22,False
2016-03-27,15,False
2016-04-03,12,False
2016-04-10,0,False
2016-04-17,11,False
2016-04-24,0,False
2016-05-01,11,False
2016-05-08,11,False
2016-05-15,0,False
2016-05-22,0,False
2016-05-29,11,False
2016-06-05,22,False
2016-06-12,13,False
2016-06-19,12,False
2016-06-26,17,False
2016-07-03,12,False
2016-07-10,12,False
2016-07-17,32,False
2016-07-24,13,False
2016-07-31,0,False
2016-08-07,21,False
2016-08-14,12,False
2016-08-21,12,False
2016-08-28,11,False
