date,CNYHKD,isPartial
2015-05-24,27,False
2015-05-31,14,False
2015-06-07,17,False
2015-06-14,0,False
2015-06-21,0,False
2015-06-28,21,False
2015-07-05,24,False
2015-07-12,22,False
2015-07-19,16,False
2015-07-26,14,False
2015-08-02,14,False
2015-08-09,78,False
2015-08-16,34,False
2015-08-23,67,False
2015-08-30,17,False
2015-09-06,33,False
2015-09-13,17,False
2015-09-20,32,False
2015-09-27,25,False
2015-10-04,31,False
2015-10-11,22,False
2015-10-18,20,False
2015-10-25,24,False
2015-11-01,17,False
2015-11-08,13,False
2015-11-15,19,False
2015-11-22,28,False
2015-11-29,28,False
2015-12-06,24,False
2015-12-13,45,False
2015-12-20,32,False
2015-12-27,27,False
2016-01-03,55,False
2016-01-10,46,False
2016-01-17,29,False
2016-01-24,21,False
2016-01-31,37,False
2016-02-07,23,False
2016-02-14,25,False
2016-02-21,22,False
2016-02-28,17,False
2016-03-06,29,False
2016-03-13,39,False
2016-03-20,17,False
2016-03-27,25,False
2016-04-03,21,False
2016-04-10,26,False
2016-04-17,46,False
2016-04-24,29,False
2016-05-01,20,False
2016-05-08,26,False
2016-05-15,29,False
2016-05-22,12,False
2016-05-29,13,False
2016-06-05,13,False
2016-06-12,38,False
2016-06-19,30,False
2016-06-26,29,False
2016-07-03,23,False
2016-07-10,44,False
2016-07-17,50,False
2016-07-24,49,False
2016-07-31,16,False
2016-08-07,36,False
2016-08-14,13,False
2016-08-21,36,False
2016-08-28,24,False
2016-09-04,14,False
2016-09-11,17,False
2016-09-18,27,False
2016-09-25,20,False
2016-10-02,23,False
2016-10-09,17,False
2016-10-16,21,False
2016-10-23,17,False
2016-10-30,38,False
2016-11-06,37,False
2016-11-13,23,False
2016-11-20,37,False
2016-11-27,22,False
2016-12-04,20,False
2016-12-11,33,False
2016-12-18,71,False
2016-12-25,18,False
2017-01-01,46,False
2017-01-08,11,False
2017-01-15,25,False
2017-01-22,16,False
2017-01-29,19,False
2017-02-05,18,False
2017-02-12,23,False
2017-02-19,21,False
2017-02-26,19,False
2017-03-05,23,False
2017-03-12,18,False
2017-03-19,31,False
2017-03-26,36,False
2017-04-02,18,False
2017-04-09,20,False
2017-04-16,28,False
2017-04-23,24,False
2017-04-30,16,False
2017-05-07,18,False
2017-05-14,22,False
2017-05-21,26,False
2017-05-28,25,False
2017-06-04,16,False
2017-06-11,13,False
2017-06-18,16,False
2017-06-25,15,False
2017-07-02,38,False
2017-07-09,34,False
2017-07-16,13,False
2017-07-23,32,False
2017-07-30,16,False
2017-08-06,20,False
2017-08-13,26,False
2017-08-20,38,False
2017-08-27,24,False
2017-09-03,36,False
2017-09-10,23,False
2017-09-17,12,False
2017-09-24,16,False
2017-10-01,12,False
2017-10-08,25,False
2017-10-15,16,False
2017-10-22,30,False
2017-10-29,27,False
2017-11-05,26,False
2017-11-12,11,False
2017-11-19,19,False
2017-11-26,66,False
2017-12-03,57,False
2017-12-10,38,False
2017-12-17,16,False
2017-12-24,17,False
2017-12-31,32,True
