date,CHFPLN,isPartial
2013-01-06,13,False
2013-01-13,10,False
2013-01-20,7,False
2013-01-27,8,False
2013-02-03,16,False
2013-02-10,11,False
2013-02-17,9,False
2013-02-24,13,False
2013-03-03,10,False
2013-03-10,18,False
2013-03-17,7,False
2013-03-24,16,False
2013-03-31,7,False
2013-04-07,13,False
2013-04-14,7,False
2013-04-21,8,False
2013-04-28,0,False
2013-05-05,7,False
2013-05-12,12,False
2013-05-19,0,False
2013-05-26,20,False
2013-06-02,12,False
2013-06-09,14,False
2013-06-16,7,False
2013-06-23,21,False
2013-06-30,10,False
2013-07-07,0,False
2013-07-14,12,False
2013-07-21,0,False
2013-07-28,8,False
2013-08-04,0,False
2013-08-11,7,False
2013-08-18,0,False
2013-08-25,8,False
2013-09-01,7,False
2013-09-08,7,False
2013-09-15,13,False
2013-09-22,10,False
2013-09-29,0,False
2013-10-06,7,False
2013-10-13,7,False
2013-10-20,13,False
2013-10-27,9,False
2013-11-03,6,False
2013-11-10,0,False
2013-11-17,6,False
2013-11-24,6,False
2013-12-01,7,False
2013-12-08,0,False
2013-12-15,11,False
2013-12-22,0,False
2013-12-29,7,False
2014-01-05,6,False
2014-01-12,7,False
2014-01-19,8,False
2014-01-26,7,False
2014-02-02,10,False
2014-02-09,9,False
2014-02-16,0,False
2014-02-23,8,False
2014-03-02,7,False
2014-03-09,13,False
2014-03-16,13,False
2014-03-23,6,False
2014-03-30,8,False
2014-04-06,6,False
2014-04-13,17,False
2014-04-20,8,False
2014-04-27,7,False
2014-05-04,9,False
2014-05-11,10,False
2014-05-18,0,False
2014-05-25,7,False
2014-06-01,7,False
2014-06-08,7,False
2014-06-15,12,False
2014-06-22,8,False
2014-06-29,10,False
2014-07-06,7,False
2014-07-13,9,False
2014-07-20,0,False
2014-07-27,9,False
2014-08-03,7,False
2014-08-10,7,False
2014-08-17,7,False
2014-08-24,0,False
2014-08-31,12,False
2014-09-07,8,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,6,False
2014-10-05,6,False
2014-10-12,8,False
2014-10-19,13,False
2014-10-26,8,False
2014-11-02,11,False
2014-11-09,7,False
2014-11-16,6,False
2014-11-23,12,False
2014-11-30,7,False
2014-12-07,11,False
2014-12-14,9,False
2014-12-21,20,False
2014-12-28,7,False
2015-01-04,15,False
2015-01-11,100,False
2015-01-18,38,False
2015-01-25,61,False
2015-02-01,40,False
2015-02-08,13,False
2015-02-15,26,False
2015-02-22,10,False
2015-03-01,21,False
2015-03-08,17,False
2015-03-15,19,False
2015-03-22,7,False
2015-03-29,14,False
2015-04-05,10,False
2015-04-12,10,False
2015-04-19,17,False
2015-04-26,7,False
2015-05-03,10,False
2015-05-10,13,False
2015-05-17,10,False
2015-05-24,21,False
2015-05-31,11,False
2015-06-07,23,False
2015-06-14,20,False
2015-06-21,6,False
2015-06-28,21,False
2015-07-05,19,False
2015-07-12,10,False
2015-07-19,9,False
2015-07-26,11,False
2015-08-02,8,False
2015-08-09,8,False
2015-08-16,8,False
2015-08-23,6,False
2015-08-30,14,False
2015-09-06,17,False
2015-09-13,6,False
2015-09-20,6,False
2015-09-27,11,False
2015-10-04,0,False
2015-10-11,6,False
2015-10-18,13,False
2015-10-25,21,False
2015-11-01,9,False
2015-11-08,7,False
2015-11-15,9,False
2015-11-22,6,False
2015-11-29,19,False
2015-12-06,11,False
2015-12-13,18,False
2015-12-20,11,False
2015-12-27,12,False
2016-01-03,9,False
2016-01-10,14,False
2016-01-17,22,False
2016-01-24,10,False
2016-01-31,22,False
2016-02-07,10,False
2016-02-14,13,False
2016-02-21,6,False
2016-02-28,14,False
2016-03-06,5,False
2016-03-13,8,False
2016-03-20,6,False
2016-03-27,11,False
2016-04-03,6,False
2016-04-10,8,False
2016-04-17,6,False
2016-04-24,12,False
2016-05-01,6,False
2016-05-08,8,False
2016-05-15,9,False
