date,EURHUF,isPartial
2013-01-06,71,False
2013-01-13,65,False
2013-01-20,65,False
2013-01-27,69,False
2013-02-03,82,False
2013-02-10,63,False
2013-02-17,44,False
2013-02-24,68,False
2013-03-03,88,False
2013-03-10,93,False
2013-03-17,84,False
2013-03-24,100,False
2013-03-31,54,False
2013-04-07,57,False
2013-04-14,53,False
2013-04-21,71,False
2013-04-28,41,False
2013-05-05,44,False
2013-05-12,50,False
2013-05-19,27,False
2013-05-26,50,False
2013-06-02,36,False
2013-06-09,43,False
2013-06-16,33,False
2013-06-23,41,False
2013-06-30,28,False
2013-07-07,34,False
2013-07-14,17,False
2013-07-21,27,False
2013-07-28,43,False
2013-08-04,45,False
2013-08-11,24,False
2013-08-18,30,False
2013-08-25,39,False
2013-09-01,23,False
2013-09-08,44,False
2013-09-15,35,False
2013-09-22,18,False
2013-09-29,32,False
2013-10-06,22,False
2013-10-13,45,False
2013-10-20,31,False
2013-10-27,31,False
2013-11-03,28,False
2013-11-10,34,False
2013-11-17,9,False
2013-11-24,37,False
2013-12-01,45,False
2013-12-08,28,False
2013-12-15,22,False
2013-12-22,14,False
2013-12-29,21,False
2014-01-05,27,False
2014-01-12,18,False
2014-01-19,58,False
2014-01-26,82,False
2014-02-02,88,False
2014-02-09,40,False
2014-02-16,47,False
2014-02-23,35,False
2014-03-02,50,False
2014-03-09,41,False
2014-03-16,20,False
2014-03-23,40,False
2014-03-30,44,False
2014-04-06,41,False
2014-04-13,48,False
2014-04-20,45,False
2014-04-27,59,False
2014-05-04,23,False
2014-05-11,32,False
2014-05-18,43,False
2014-05-25,39,False
2014-06-01,36,False
2014-06-08,42,False
2014-06-15,13,False
2014-06-22,30,False
2014-06-29,70,False
2014-07-06,29,False
2014-07-13,26,False
2014-07-20,41,False
2014-07-27,27,False
2014-08-03,42,False
2014-08-10,63,False
2014-08-17,62,False
2014-08-24,19,False
2014-08-31,50,False
2014-09-07,73,False
2014-09-14,34,False
2014-09-21,37,False
2014-09-28,40,False
2014-10-05,28,False
2014-10-12,30,False
2014-10-19,36,False
2014-10-26,19,False
2014-11-02,39,False
2014-11-09,45,False
2014-11-16,33,False
2014-11-23,32,False
2014-11-30,20,False
2014-12-07,33,False
2014-12-14,61,False
2014-12-21,56,False
2014-12-28,45,False
