date,GBPSGD,isPartial
2013-01-06,6,False
2013-01-13,4,False
2013-01-20,4,False
2013-01-27,10,False
2013-02-03,10,False
2013-02-10,11,False
2013-02-17,13,False
2013-02-24,10,False
2013-03-03,11,False
2013-03-10,11,False
2013-03-17,10,False
2013-03-24,5,False
2013-03-31,9,False
2013-04-07,11,False
2013-04-14,8,False
2013-04-21,9,False
2013-04-28,5,False
2013-05-05,10,False
2013-05-12,7,False
2013-05-19,9,False
2013-05-26,8,False
2013-06-02,9,False
2013-06-09,7,False
2013-06-16,10,False
2013-06-23,7,False
2013-06-30,9,False
2013-07-07,7,False
2013-07-14,4,False
2013-07-21,8,False
2013-07-28,4,False
2013-08-04,4,False
2013-08-11,5,False
2013-08-18,5,False
2013-08-25,4,False
2013-09-01,7,False
2013-09-08,17,False
2013-09-15,11,False
2013-09-22,6,False
2013-09-29,7,False
2013-10-06,13,False
2013-10-13,5,False
2013-10-20,3,False
2013-10-27,6,False
2013-11-03,7,False
2013-11-10,9,False
2013-11-17,6,False
2013-11-24,8,False
2013-12-01,7,False
2013-12-08,5,False
2013-12-15,12,False
2013-12-22,8,False
2013-12-29,5,False
2014-01-05,8,False
2014-01-12,7,False
2014-01-19,11,False
2014-01-26,9,False
2014-02-02,5,False
2014-02-09,8,False
2014-02-16,6,False
2014-02-23,6,False
2014-03-02,10,False
2014-03-09,12,False
2014-03-16,10,False
2014-03-23,6,False
2014-03-30,4,False
2014-04-06,7,False
2014-04-13,4,False
2014-04-20,9,False
2014-04-27,12,False
2014-05-04,8,False
2014-05-11,7,False
2014-05-18,5,False
2014-05-25,10,False
2014-06-01,10,False
2014-06-08,10,False
2014-06-15,11,False
2014-06-22,6,False
2014-06-29,6,False
2014-07-06,11,False
2014-07-13,4,False
2014-07-20,11,False
2014-07-27,10,False
2014-08-03,8,False
2014-08-10,10,False
2014-08-17,7,False
2014-08-24,12,False
2014-08-31,10,False
2014-09-07,13,False
2014-09-14,18,False
2014-09-21,9,False
2014-09-28,11,False
2014-10-05,12,False
2014-10-12,8,False
2014-10-19,8,False
2014-10-26,9,False
2014-11-02,10,False
2014-11-09,15,False
2014-11-16,5,False
2014-11-23,9,False
2014-11-30,10,False
2014-12-07,9,False
2014-12-14,8,False
2014-12-21,7,False
2014-12-28,13,False
2015-01-04,11,False
2015-01-11,9,False
2015-01-18,13,False
2015-01-25,8,False
2015-02-01,8,False
2015-02-08,7,False
2015-02-15,9,False
2015-02-22,7,False
2015-03-01,3,False
2015-03-08,5,False
2015-03-15,11,False
2015-03-22,7,False
2015-03-29,6,False
2015-04-05,16,False
2015-04-12,13,False
2015-04-19,9,False
2015-04-26,6,False
2015-05-03,8,False
2015-05-10,8,False
2015-05-17,8,False
2015-05-24,15,False
2015-05-31,7,False
2015-06-07,12,False
2015-06-14,20,False
2015-06-21,6,False
2015-06-28,6,False
2015-07-05,11,False
2015-07-12,8,False
2015-07-19,12,False
2015-07-26,6,False
2015-08-02,15,False
2015-08-09,8,False
2015-08-16,19,False
2015-08-23,19,False
2015-08-30,10,False
2015-09-06,11,False
2015-09-13,8,False
2015-09-20,10,False
2015-09-27,11,False
2015-10-04,8,False
2015-10-11,13,False
2015-10-18,6,False
2015-10-25,6,False
2015-11-01,12,False
2015-11-08,14,False
2015-11-15,3,False
2015-11-22,11,False
2015-11-29,8,False
2015-12-06,10,False
2015-12-13,9,False
2015-12-20,7,False
2015-12-27,15,False
2016-01-03,16,False
2016-01-10,7,False
2016-01-17,9,False
2016-01-24,14,False
2016-01-31,14,False
2016-02-07,13,False
2016-02-14,7,False
2016-02-21,20,False
2016-02-28,14,False
2016-03-06,10,False
2016-03-13,8,False
2016-03-20,13,False
2016-03-27,4,False
2016-04-03,7,False
2016-04-10,8,False
2016-04-17,13,False
2016-04-24,14,False
2016-05-01,9,False
2016-05-08,8,False
2016-05-15,6,False
2016-05-22,8,False
2016-05-29,15,False
2016-06-05,15,False
2016-06-12,23,False
2016-06-19,100,False
2016-06-26,55,False
2016-07-03,56,False
2016-07-10,24,False
2016-07-17,15,False
2016-07-24,11,False
2016-07-31,13,False
2016-08-07,12,False
2016-08-14,11,False
2016-08-21,11,False
2016-08-28,8,False
2016-09-04,5,False
2016-09-11,5,False
2016-09-18,8,False
2016-09-25,6,False
2016-10-02,36,False
2016-10-09,25,False
2016-10-16,8,False
2016-10-23,8,False
2016-10-30,11,False
2016-11-06,12,False
2016-11-13,15,False
2016-11-20,9,False
2016-11-27,9,False
2016-12-04,8,False
2016-12-11,11,False
2016-12-18,10,False
2016-12-25,6,False
2017-01-01,11,False
2017-01-08,17,False
2017-01-15,13,False
2017-01-22,14,False
2017-01-29,3,False
2017-02-05,8,False
2017-02-12,11,False
2017-02-19,13,False
2017-02-26,10,False
2017-03-05,7,False
2017-03-12,11,False
2017-03-19,14,False
2017-03-26,12,False
2017-04-02,6,False
2017-04-09,11,False
2017-04-16,15,False
2017-04-23,11,False
2017-04-30,16,False
2017-05-07,9,False
2017-05-14,8,False
2017-05-21,6,False
2017-05-28,7,False
2017-06-04,9,False
2017-06-11,12,False
2017-06-18,8,False
2017-06-25,5,False
2017-07-02,9,False
2017-07-09,9,False
2017-07-16,15,False
2017-07-23,10,False
2017-07-30,3,False
2017-08-06,6,False
2017-08-13,6,False
2017-08-20,9,False
2017-08-27,8,False
2017-09-03,9,False
2017-09-10,10,False
2017-09-17,8,False
2017-09-24,15,False
2017-10-01,8,False
2017-10-08,3,False
2017-10-15,6,False
2017-10-22,7,False
2017-10-29,14,False
2017-11-05,11,False
2017-11-12,14,False
2017-11-19,7,False
2017-11-26,11,False
2017-12-03,8,False
2017-12-10,9,False
2017-12-17,7,False
2017-12-24,8,False
2017-12-31,13,True
