date,CHFEUR
2012-12-30,0
2013-01-06,0
2013-01-13,6
2013-01-20,0
2013-01-27,6
2013-02-03,6
2013-02-10,7
2013-02-17,0
2013-02-24,13
2013-03-03,6
2013-03-10,0
2013-03-17,12
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,19
2013-04-28,6
2013-05-05,0
2013-05-12,12
2013-05-19,6
2013-05-26,6
2013-06-02,12
2013-06-09,6
2013-06-16,6
2013-06-23,0
2013-06-30,13
2013-07-07,0
2013-07-14,6
2013-07-21,0
2013-07-28,0
2013-08-04,6
2013-08-11,7
2013-08-18,0
2013-08-25,12
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,6
2013-10-06,18
2013-10-13,6
2013-10-20,0
2013-10-27,12
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,6
2013-12-15,6
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,6
2014-01-19,11
2014-01-26,6
2014-02-02,17
2014-02-09,5
2014-02-16,0
2014-02-23,0
2014-03-02,5
2014-03-09,0
2014-03-16,5
2014-03-23,5
2014-03-30,5
2014-04-06,0
2014-04-13,6
2014-04-20,6
2014-04-27,11
2014-05-04,5
2014-05-11,11
2014-05-18,0
2014-05-25,0
2014-06-01,6
2014-06-08,0
2014-06-15,0
2014-06-22,6
2014-06-29,0
2014-07-06,0
2014-07-13,6
2014-07-20,0
2014-07-27,0
2014-08-03,7
2014-08-10,0
2014-08-17,0
2014-08-24,0
2014-08-31,0
2014-09-07,0
2014-09-14,6
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,6
2014-11-02,0
2014-11-09,0
2014-11-16,6
2014-11-23,6
2014-11-30,5
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,0
2015-01-11,100
2015-01-18,42
2015-01-25,31
2015-02-01,42
2015-02-08,26
2015-02-15,11
2015-02-22,10
2015-03-01,5
2015-03-08,10
2015-03-15,20
2015-03-22,0
2015-03-29,11
2015-04-05,5
2015-04-12,16
2015-04-19,5
2015-04-26,5
2015-05-03,10
2015-05-10,5
2015-05-17,16
2015-05-24,10
2015-05-31,10
2015-06-07,10
2015-06-14,21
2015-06-21,0
2015-06-28,16
2015-07-05,10
2015-07-12,16
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,16
2015-08-16,0
2015-08-23,10
2015-08-30,5
2015-09-06,0
2015-09-13,15
2015-09-20,10
2015-09-27,5
2015-10-04,10
2015-10-11,5
2015-10-18,10
2015-10-25,10
2015-11-01,24
2015-11-08,5
2015-11-15,0
2015-11-22,0
2015-11-29,9
2015-12-06,14
2015-12-13,5
2015-12-20,0
2015-12-27,11
2016-01-03,0
2016-01-10,0
2016-01-17,5
2016-01-24,10
2016-01-31,0
2016-02-07,10
2016-02-14,10
2016-02-21,0
2016-02-28,10
2016-03-06,5
2016-03-13,0
2016-03-20,15
2016-03-27,5
2016-04-03,5
2016-04-10,0
2016-04-17,5
2016-04-24,5
2016-05-01,5
2016-05-08,0
2016-05-15,0
2016-05-22,10
2016-05-29,5
2016-06-05,5
2016-06-12,0
2016-06-19,16
2016-06-26,10
2016-07-03,5
2016-07-10,0
2016-07-17,0
2016-07-24,5
2016-07-31,0
2016-08-07,17
2016-08-14,6
2016-08-21,0
2016-08-28,5
2016-09-04,5
2016-09-11,21
2016-09-18,0
2016-09-25,0
2016-10-02,5
2016-10-09,0
2016-10-16,0
2016-10-23,5
2016-10-30,5
2016-11-06,10
2016-11-13,5
2016-11-20,0
2016-11-27,0
2016-12-04,5
2016-12-11,0
2016-12-18,0
2016-12-25,5
2017-01-01,0
2017-01-08,0
2017-01-15,5
2017-01-22,0
2017-01-29,5
2017-02-05,9
2017-02-12,0
2017-02-19,0
2017-02-26,9
2017-03-05,0
2017-03-12,0
2017-03-19,5
2017-03-26,0
2017-04-02,5
2017-04-09,10
2017-04-16,5
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,5
2017-05-21,5
2017-05-28,0
2017-06-04,0
2017-06-11,5
2017-06-18,0
2017-06-25,0
2017-07-02,10
2017-07-09,0
2017-07-16,10
2017-07-23,5
2017-07-30,14
2017-08-06,14
2017-08-13,0
2017-08-20,10
2017-08-27,5
2017-09-03,10
2017-09-10,9
2017-09-17,19
2017-09-24,5
2017-10-01,5
2017-10-08,0
2017-10-15,5
2017-10-22,14
2017-10-29,5
2017-11-05,0
2017-11-12,4
2017-11-19,0
2017-11-26,4
2017-12-03,5
2017-12-10,9
2017-12-17,13
