date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX
2017-06-18,3,10,74,87,15,2,4,50,3,65,4,83,3,41,17,56,9,73,4,21,22,45,72,74,3,16,5,18,73,25
2017-06-25,3,8,71,87,15,2,4,52,7,68,3,86,4,45,12,60,8,60,5,23,16,45,71,66,2,15,5,17,41,44
2017-07-02,2,7,69,86,12,2,4,35,2,64,5,86,1,31,13,44,6,55,5,20,15,40,72,55,3,16,5,14,33,32
2017-07-09,2,7,71,80,13,3,3,39,4,64,8,84,1,40,13,38,2,53,5,18,14,31,68,61,4,16,2,13,28,30
2017-07-16,3,7,75,81,12,4,4,37,3,65,10,86,4,45,14,34,6,55,0,23,13,44,70,57,2,19,4,15,22,28
2017-07-23,3,7,71,81,13,3,4,28,3,67,10,81,3,40,9,27,3,69,14,21,11,39,65,47,2,18,10,13,23,23
2017-07-30,3,7,73,86,13,2,3,27,5,63,13,82,5,28,12,29,3,70,0,13,10,32,63,59,1,19,4,13,20,19
2017-08-06,4,8,73,88,14,4,3,21,3,78,15,78,10,52,10,33,2,75,4,21,13,32,65,36,4,20,4,13,26,23
2017-08-13,8,8,72,85,13,5,2,19,4,100,21,78,9,42,17,28,2,80,18,20,15,33,61,34,4,18,4,15,25,23
2017-08-20,5,14,74,84,41,4,3,39,5,79,27,82,11,32,46,31,2,99,18,18,18,45,60,49,12,19,4,15,21,31
2017-08-27,6,12,72,85,38,4,4,36,4,74,22,80,19,50,60,32,3,57,67,24,26,41,90,61,10,18,4,19,22,39
2017-09-03,5,10,68,83,24,5,5,23,3,74,20,82,22,29,41,28,2,61,100,24,19,41,86,38,7,23,7,16,21,36
2017-09-10,4,9,67,77,22,4,5,17,2,72,20,83,26,27,25,25,1,62,21,24,11,28,72,44,5,19,7,16,17,20
2017-09-17,4,8,78,93,26,4,4,14,2,72,22,87,8,30,23,25,2,75,22,22,12,30,67,56,10,18,9,16,12,25
2017-09-24,4,7,79,90,21,6,4,19,2,79,22,83,15,22,23,45,1,67,26,21,8,37,67,37,7,24,11,14,13,17
2017-10-01,4,9,74,80,20,9,8,19,5,75,28,85,16,26,27,35,3,67,39,29,9,38,64,38,9,19,12,13,13,28
2017-10-08,4,12,77,87,18,24,7,14,5,73,35,87,16,24,23,28,53,72,47,30,10,28,61,19,9,17,8,15,13,32
2017-10-15,4,14,75,87,20,30,7,13,27,70,43,88,18,23,22,25,28,77,21,22,13,34,60,25,24,17,8,17,13,45
2017-10-22,4,10,77,88,20,100,6,16,11,69,48,86,8,37,20,28,13,66,17,13,10,30,63,48,58,17,10,16,9,26
2017-10-29,4,11,78,87,21,48,7,21,10,70,68,85,7,33,20,28,10,63,13,16,11,33,66,42,55,16,5,18,13,22
2017-11-05,5,11,77,86,31,38,6,44,10,71,73,85,10,25,31,31,8,64,17,17,12,31,64,27,33,17,7,20,15,36
2017-11-12,8,13,85,91,29,75,7,52,10,73,77,93,9,22,66,36,10,67,79,18,11,37,62,36,26,17,14,19,10,23
2017-11-19,9,15,90,90,32,56,7,31,12,78,76,78,12,27,71,34,7,85,12,38,15,48,65,44,23,15,7,26,16,40
2017-11-26,19,23,91,88,50,51,32,100,47,71,88,88,9,31,43,43,26,70,21,40,24,49,65,53,40,16,50,34,23,44
2017-12-03,100,25,87,93,86,44,26,62,81,74,92,93,14,75,49,55,100,86,33,49,37,72,64,60,100,16,100,42,57,40
2017-12-10,71,96,88,97,87,43,50,98,84,76,100,95,30,53,50,73,64,90,33,71,57,77,79,83,89,16,59,72,52,63
2017-12-17,58,100,92,99,100,48,100,91,100,79,91,82,100,89,100,100,36,100,47,100,100,100,87,100,54,18,100,100,100,100
