date,GBPEUR,isPartial
2012-12-30,6,False
2013-01-06,8,False
2013-01-13,0,False
2013-01-20,12,False
2013-01-27,10,False
2013-02-03,5,False
2013-02-10,4,False
2013-02-17,7,False
2013-02-24,7,False
2013-03-03,7,False
2013-03-10,10,False
2013-03-17,8,False
2013-03-24,9,False
2013-03-31,6,False
2013-04-07,5,False
2013-04-14,5,False
2013-04-21,6,False
2013-04-28,7,False
2013-05-05,0,False
2013-05-12,5,False
2013-05-19,2,False
2013-05-26,5,False
2013-06-02,2,False
2013-06-09,0,False
2013-06-16,8,False
2013-06-23,6,False
2013-06-30,2,False
2013-07-07,6,False
2013-07-14,5,False
2013-07-21,7,False
2013-07-28,9,False
2013-08-04,6,False
2013-08-11,5,False
2013-08-18,4,False
2013-08-25,8,False
2013-09-01,7,False
2013-09-08,2,False
2013-09-15,7,False
2013-09-22,2,False
2013-09-29,3,False
2013-10-06,7,False
2013-10-13,8,False
2013-10-20,3,False
2013-10-27,3,False
2013-11-03,6,False
2013-11-10,6,False
2013-11-17,8,False
2013-11-24,7,False
2013-12-01,1,False
2013-12-08,6,False
2013-12-15,9,False
2013-12-22,1,False
2013-12-29,5,False
2014-01-05,5,False
2014-01-12,6,False
2014-01-19,9,False
2014-01-26,4,False
2014-02-02,2,False
2014-02-09,7,False
2014-02-16,3,False
2014-02-23,5,False
2014-03-02,7,False
2014-03-09,4,False
2014-03-16,3,False
2014-03-23,5,False
2014-03-30,4,False
2014-04-06,5,False
2014-04-13,8,False
2014-04-20,2,False
2014-04-27,6,False
2014-05-04,8,False
2014-05-11,6,False
2014-05-18,4,False
2014-05-25,5,False
2014-06-01,5,False
2014-06-08,1,False
2014-06-15,7,False
2014-06-22,8,False
2014-06-29,4,False
2014-07-06,5,False
2014-07-13,8,False
2014-07-20,4,False
2014-07-27,5,False
2014-08-03,6,False
2014-08-10,7,False
2014-08-17,8,False
2014-08-24,1,False
2014-08-31,9,False
2014-09-07,16,False
2014-09-14,10,False
2014-09-21,9,False
2014-09-28,15,False
2014-10-05,3,False
2014-10-12,3,False
2014-10-19,5,False
2014-10-26,2,False
2014-11-02,9,False
2014-11-09,7,False
2014-11-16,6,False
2014-11-23,2,False
2014-11-30,10,False
2014-12-07,4,False
2014-12-14,4,False
2014-12-21,5,False
2014-12-28,7,False
2015-01-04,11,False
2015-01-11,13,False
2015-01-18,18,False
2015-01-25,14,False
2015-02-01,9,False
2015-02-08,10,False
2015-02-15,11,False
2015-02-22,13,False
2015-03-01,13,False
2015-03-08,21,False
2015-03-15,17,False
2015-03-22,13,False
2015-03-29,17,False
2015-04-05,12,False
2015-04-12,12,False
2015-04-19,8,False
2015-04-26,10,False
2015-05-03,17,False
2015-05-10,14,False
2015-05-17,13,False
2015-05-24,11,False
2015-05-31,6,False
2015-06-07,9,False
2015-06-14,10,False
2015-06-21,18,False
2015-06-28,22,False
2015-07-05,29,False
2015-07-12,23,False
2015-07-19,16,False
2015-07-26,12,False
2015-08-02,5,False
2015-08-09,4,False
2015-08-16,4,False
2015-08-23,26,False
2015-08-30,10,False
2015-09-06,14,False
2015-09-13,12,False
2015-09-20,11,False
2015-09-27,3,False
2015-10-04,7,False
2015-10-11,10,False
2015-10-18,7,False
2015-10-25,5,False
2015-11-01,9,False
2015-11-08,13,False
2015-11-15,11,False
2015-11-22,11,False
2015-11-29,7,False
2015-12-06,9,False
2015-12-13,8,False
2015-12-20,9,False
2015-12-27,4,False
2016-01-03,13,False
2016-01-10,13,False
2016-01-17,16,False
2016-01-24,12,False
2016-01-31,13,False
2016-02-07,15,False
2016-02-14,10,False
2016-02-21,18,False
2016-02-28,12,False
2016-03-06,13,False
2016-03-13,14,False
2016-03-20,11,False
2016-03-27,5,False
2016-04-03,11,False
2016-04-10,5,False
2016-04-17,9,False
2016-04-24,12,False
2016-05-01,11,False
2016-05-08,15,False
2016-05-15,8,False
2016-05-22,13,False
2016-05-29,10,False
2016-06-05,5,False
2016-06-12,27,False
2016-06-19,100,False
2016-06-26,69,False
2016-07-03,38,False
2016-07-10,39,False
2016-07-17,28,False
2016-07-24,17,False
2016-07-31,22,False
2016-08-07,11,False
2016-08-14,21,False
2016-08-21,11,False
2016-08-28,14,False
2016-09-04,16,False
2016-09-11,16,False
2016-09-18,14,False
2016-09-25,11,False
2016-10-02,34,False
2016-10-09,23,False
2016-10-16,19,False
2016-10-23,11,False
2016-10-30,23,False
2016-11-06,18,False
2016-11-13,16,False
2016-11-20,16,False
2016-11-27,14,False
2016-12-04,16,False
2016-12-11,20,False
2016-12-18,10,False
2016-12-25,10,False
2017-01-01,9,False
2017-01-08,22,False
2017-01-15,26,False
2017-01-22,20,False
2017-01-29,14,False
2017-02-05,10,False
2017-02-12,18,False
2017-02-19,8,False
2017-02-26,9,False
2017-03-05,5,False
2017-03-12,16,False
2017-03-19,12,False
2017-03-26,14,False
2017-04-02,10,False
2017-04-09,12,False
2017-04-16,24,False
2017-04-23,18,False
2017-04-30,12,False
2017-05-07,14,False
2017-05-14,14,False
2017-05-21,15,False
2017-05-28,20,False
2017-06-04,28,False
2017-06-11,19,False
2017-06-18,21,False
2017-06-25,13,False
2017-07-02,11,False
2017-07-09,11,False
2017-07-16,11,False
2017-07-23,10,False
2017-07-30,9,False
2017-08-06,14,False
2017-08-13,16,False
2017-08-20,21,False
2017-08-27,11,False
2017-09-03,12,False
2017-09-10,29,False
2017-09-17,20,False
2017-09-24,11,False
2017-10-01,15,False
2017-10-08,17,False
2017-10-15,5,False
2017-10-22,10,False
2017-10-29,18,False
2017-11-05,11,False
2017-11-12,6,False
2017-11-19,12,False
2017-11-26,21,False
2017-12-03,25,False
2017-12-10,15,False
2017-12-17,11,True
