date,CHFEUR,isPartial
2012-12-30,0,False
2013-01-06,0,False
2013-01-13,6,False
2013-01-20,0,False
2013-01-27,6,False
2013-02-03,6,False
2013-02-10,7,False
2013-02-17,0,False
2013-02-24,13,False
2013-03-03,6,False
2013-03-10,0,False
2013-03-17,12,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,19,False
2013-04-28,6,False
2013-05-05,0,False
2013-05-12,12,False
2013-05-19,6,False
2013-05-26,6,False
2013-06-02,12,False
2013-06-09,6,False
2013-06-16,6,False
2013-06-23,0,False
2013-06-30,13,False
2013-07-07,0,False
2013-07-14,6,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,6,False
2013-08-11,7,False
2013-08-18,0,False
2013-08-25,12,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,6,False
2013-10-06,18,False
2013-10-13,6,False
2013-10-20,0,False
2013-10-27,12,False
2013-11-03,0,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,6,False
2013-12-15,6,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,6,False
2014-01-19,11,False
2014-01-26,6,False
2014-02-02,17,False
2014-02-09,5,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,5,False
2014-03-09,0,False
2014-03-16,5,False
2014-03-23,5,False
2014-03-30,5,False
2014-04-06,0,False
2014-04-13,6,False
2014-04-20,6,False
2014-04-27,11,False
2014-05-04,5,False
2014-05-11,11,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,6,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,6,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,6,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,7,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,6,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,6,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,6,False
2014-11-23,6,False
2014-11-30,5,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,100,False
2015-01-18,42,False
2015-01-25,31,False
2015-02-01,42,False
2015-02-08,26,False
2015-02-15,11,False
2015-02-22,10,False
2015-03-01,5,False
2015-03-08,10,False
2015-03-15,20,False
2015-03-22,0,False
2015-03-29,11,False
2015-04-05,5,False
2015-04-12,16,False
2015-04-19,5,False
2015-04-26,5,False
2015-05-03,10,False
2015-05-10,5,False
2015-05-17,16,False
2015-05-24,10,False
2015-05-31,10,False
2015-06-07,10,False
2015-06-14,21,False
2015-06-21,0,False
2015-06-28,16,False
2015-07-05,10,False
2015-07-12,16,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,16,False
2015-08-16,0,False
2015-08-23,10,False
2015-08-30,5,False
