date,USDGBP,isPartial
2012-12-30,3,False
2013-01-06,0,False
2013-01-13,3,False
2013-01-20,3,False
2013-01-27,3,False
2013-02-03,8,False
2013-02-10,9,False
2013-02-17,6,False
2013-02-24,11,False
2013-03-03,6,False
2013-03-10,8,False
2013-03-17,8,False
2013-03-24,3,False
2013-03-31,6,False
2013-04-07,5,False
2013-04-14,3,False
2013-04-21,11,False
2013-04-28,3,False
2013-05-05,0,False
2013-05-12,3,False
2013-05-19,3,False
2013-05-26,3,False
2013-06-02,5,False
2013-06-09,3,False
2013-06-16,11,False
2013-06-23,8,False
2013-06-30,14,False
2013-07-07,6,False
2013-07-14,3,False
2013-07-21,3,False
2013-07-28,8,False
2013-08-04,8,False
2013-08-11,0,False
2013-08-18,6,False
2013-08-25,3,False
2013-09-01,3,False
2013-09-08,5,False
2013-09-15,3,False
2013-09-22,5,False
2013-09-29,0,False
2013-10-06,10,False
2013-10-13,5,False
2013-10-20,5,False
2013-10-27,13,False
2013-11-03,3,False
2013-11-10,3,False
2013-11-17,3,False
2013-11-24,10,False
2013-12-01,5,False
2013-12-08,15,False
2013-12-15,10,False
2013-12-22,0,False
2013-12-29,8,False
2014-01-05,7,False
2014-01-12,7,False
2014-01-19,5,False
2014-01-26,0,False
2014-02-02,5,False
2014-02-09,9,False
2014-02-16,9,False
2014-02-23,7,False
2014-03-02,5,False
2014-03-09,7,False
2014-03-16,2,False
2014-03-23,5,False
2014-03-30,2,False
2014-04-06,0,False
2014-04-13,15,False
2014-04-20,2,False
2014-04-27,10,False
2014-05-04,5,False
2014-05-11,12,False
2014-05-18,3,False
2014-05-25,13,False
2014-06-01,8,False
2014-06-08,5,False
2014-06-15,3,False
2014-06-22,8,False
2014-06-29,3,False
2014-07-06,3,False
2014-07-13,3,False
2014-07-20,11,False
2014-07-27,3,False
2014-08-03,0,False
2014-08-10,5,False
2014-08-17,3,False
2014-08-24,3,False
2014-08-31,5,False
2014-09-07,18,False
2014-09-14,0,False
2014-09-21,8,False
2014-09-28,0,False
2014-10-05,8,False
2014-10-12,15,False
2014-10-19,2,False
2014-10-26,2,False
2014-11-02,2,False
2014-11-09,10,False
2014-11-16,5,False
2014-11-23,5,False
2014-11-30,5,False
2014-12-07,5,False
2014-12-14,2,False
2014-12-21,3,False
2014-12-28,3,False
2015-01-04,12,False
2015-01-11,21,False
2015-01-18,7,False
2015-01-25,7,False
2015-02-01,2,False
2015-02-08,14,False
2015-02-15,2,False
2015-02-22,9,False
2015-03-01,9,False
2015-03-08,20,False
2015-03-15,11,False
2015-03-22,5,False
2015-03-29,12,False
2015-04-05,11,False
2015-04-12,11,False
2015-04-19,7,False
2015-04-26,14,False
2015-05-03,5,False
2015-05-10,9,False
2015-05-17,2,False
2015-05-24,2,False
2015-05-31,9,False
2015-06-07,7,False
2015-06-14,7,False
2015-06-21,14,False
2015-06-28,5,False
2015-07-05,5,False
2015-07-12,2,False
2015-07-19,9,False
2015-07-26,5,False
2015-08-02,9,False
2015-08-09,11,False
2015-08-16,11,False
2015-08-23,16,False
2015-08-30,9,False
2015-09-06,9,False
2015-09-13,11,False
2015-09-20,11,False
2015-09-27,6,False
2015-10-04,2,False
2015-10-11,4,False
2015-10-18,10,False
2015-10-25,2,False
2015-11-01,6,False
2015-11-08,8,False
2015-11-15,10,False
2015-11-22,2,False
2015-11-29,8,False
2015-12-06,6,False
2015-12-13,15,False
2015-12-20,14,False
2015-12-27,12,False
2016-01-03,7,False
2016-01-10,13,False
2016-01-17,9,False
2016-01-24,11,False
2016-01-31,13,False
2016-02-07,7,False
2016-02-14,9,False
2016-02-21,15,False
2016-02-28,8,False
2016-03-06,4,False
2016-03-13,7,False
2016-03-20,18,False
2016-03-27,4,False
2016-04-03,11,False
2016-04-10,7,False
2016-04-17,4,False
2016-04-24,7,False
2016-05-01,7,False
2016-05-08,2,False
2016-05-15,2,False
2016-05-22,13,False
2016-05-29,7,False
2016-06-05,9,False
2016-06-12,9,False
2016-06-19,100,False
2016-06-26,68,False
2016-07-03,26,False
2016-07-10,16,False
2016-07-17,19,False
2016-07-24,9,False
2016-07-31,22,False
2016-08-07,15,False
2016-08-14,15,False
2016-08-21,5,False
2016-08-28,11,False
2016-09-04,7,False
2016-09-11,7,False
2016-09-18,7,False
2016-09-25,14,False
2016-10-02,13,False
2016-10-09,9,False
2016-10-16,9,False
2016-10-23,4,False
2016-10-30,16,False
2016-11-06,17,False
2016-11-13,20,False
2016-11-20,2,False
2016-11-27,6,False
2016-12-04,12,False
2016-12-11,6,False
2016-12-18,9,False
2016-12-25,7,False
2017-01-01,9,False
2017-01-08,12,False
2017-01-15,26,False
2017-01-22,16,False
2017-01-29,18,False
2017-02-05,4,False
2017-02-12,6,False
2017-02-19,4,False
2017-02-26,10,False
2017-03-05,6,False
2017-03-12,6,False
2017-03-19,16,False
2017-03-26,14,False
2017-04-02,12,False
2017-04-09,13,False
2017-04-16,6,False
2017-04-23,2,False
2017-04-30,12,False
2017-05-07,4,False
2017-05-14,9,False
2017-05-21,11,False
2017-05-28,11,False
2017-06-04,19,False
2017-06-11,7,False
2017-06-18,11,False
2017-06-25,11,False
2017-07-02,4,False
2017-07-09,4,False
2017-07-16,18,False
2017-07-23,4,False
2017-07-30,4,False
2017-08-06,6,False
2017-08-13,2,False
2017-08-20,11,False
2017-08-27,8,False
2017-09-03,10,False
2017-09-10,16,False
2017-09-17,12,False
2017-09-24,10,False
2017-10-01,20,False
2017-10-08,8,False
2017-10-15,8,False
2017-10-22,6,False
2017-10-29,8,False
2017-11-05,4,False
2017-11-12,4,False
2017-11-19,10,False
2017-11-26,10,False
2017-12-03,10,False
2017-12-10,6,False
2017-12-17,8,True
