date,USDCHF,isPartial
2012-12-30,4,False
2013-01-06,11,False
2013-01-13,12,False
2013-01-20,8,False
2013-01-27,8,False
2013-02-03,14,False
2013-02-10,9,False
2013-02-17,12,False
2013-02-24,9,False
2013-03-03,9,False
2013-03-10,13,False
2013-03-17,4,False
2013-03-24,7,False
2013-03-31,9,False
2013-04-07,6,False
2013-04-14,9,False
2013-04-21,4,False
2013-04-28,14,False
2013-05-05,6,False
2013-05-12,8,False
2013-05-19,15,False
2013-05-26,17,False
2013-06-02,10,False
2013-06-09,12,False
2013-06-16,15,False
2013-06-23,11,False
2013-06-30,5,False
2013-07-07,14,False
2013-07-14,8,False
2013-07-21,5,False
2013-07-28,6,False
2013-08-04,8,False
2013-08-11,17,False
2013-08-18,11,False
2013-08-25,2,False
2013-09-01,15,False
2013-09-08,12,False
2013-09-15,6,False
2013-09-22,6,False
2013-09-29,13,False
2013-10-06,10,False
2013-10-13,21,False
2013-10-20,18,False
2013-10-27,20,False
2013-11-03,11,False
2013-11-10,9,False
2013-11-17,16,False
2013-11-24,8,False
2013-12-01,8,False
2013-12-08,15,False
2013-12-15,18,False
2013-12-22,11,False
2013-12-29,16,False
2014-01-05,18,False
2014-01-12,11,False
2014-01-19,20,False
2014-01-26,15,False
2014-02-02,9,False
2014-02-09,9,False
2014-02-16,12,False
2014-02-23,10,False
2014-03-02,18,False
2014-03-09,11,False
2014-03-16,11,False
2014-03-23,12,False
2014-03-30,17,False
2014-04-06,14,False
2014-04-13,13,False
2014-04-20,5,False
2014-04-27,12,False
2014-05-04,11,False
2014-05-11,7,False
2014-05-18,14,False
2014-05-25,12,False
2014-06-01,5,False
2014-06-08,10,False
2014-06-15,14,False
2014-06-22,6,False
2014-06-29,10,False
2014-07-06,10,False
2014-07-13,10,False
2014-07-20,8,False
2014-07-27,4,False
2014-08-03,11,False
2014-08-10,10,False
2014-08-17,11,False
2014-08-24,12,False
2014-08-31,11,False
2014-09-07,18,False
2014-09-14,15,False
2014-09-21,15,False
2014-09-28,6,False
2014-10-05,14,False
2014-10-12,11,False
2014-10-19,9,False
2014-10-26,7,False
2014-11-02,9,False
2014-11-09,12,False
2014-11-16,9,False
2014-11-23,12,False
2014-11-30,19,False
2014-12-07,11,False
2014-12-14,17,False
2014-12-21,5,False
2014-12-28,9,False
2015-01-04,13,False
2015-01-11,100,False
2015-01-18,49,False
2015-01-25,31,False
2015-02-01,22,False
2015-02-08,14,False
2015-02-15,14,False
2015-02-22,11,False
2015-03-01,10,False
2015-03-08,17,False
2015-03-15,18,False
2015-03-22,14,False
2015-03-29,12,False
2015-04-05,8,False
2015-04-12,10,False
2015-04-19,8,False
2015-04-26,16,False
2015-05-03,19,False
2015-05-10,18,False
2015-05-17,12,False
2015-05-24,13,False
2015-05-31,18,False
2015-06-07,8,False
2015-06-14,9,False
2015-06-21,8,False
2015-06-28,14,False
2015-07-05,5,False
2015-07-12,14,False
2015-07-19,15,False
2015-07-26,14,False
2015-08-02,14,False
2015-08-09,19,False
2015-08-16,21,False
2015-08-23,18,False
2015-08-30,18,False
2015-09-06,14,False
2015-09-13,10,False
2015-09-20,10,False
2015-09-27,17,False
2015-10-04,8,False
2015-10-11,9,False
2015-10-18,14,False
2015-10-25,13,False
2015-11-01,17,False
2015-11-08,18,False
2015-11-15,15,False
2015-11-22,17,False
2015-11-29,18,False
2015-12-06,19,False
2015-12-13,21,False
2015-12-20,14,False
2015-12-27,13,False
2016-01-03,22,False
2016-01-10,14,False
2016-01-17,11,False
2016-01-24,13,False
2016-01-31,14,False
2016-02-07,19,False
2016-02-14,9,False
2016-02-21,19,False
2016-02-28,9,False
2016-03-06,10,False
2016-03-13,15,False
2016-03-20,16,False
2016-03-27,13,False
2016-04-03,17,False
2016-04-10,14,False
2016-04-17,11,False
2016-04-24,12,False
2016-05-01,11,False
2016-05-08,5,False
2016-05-15,20,False
2016-05-22,13,False
2016-05-29,15,False
2016-06-05,9,False
2016-06-12,15,False
2016-06-19,20,False
2016-06-26,17,False
2016-07-03,12,False
2016-07-10,14,False
2016-07-17,7,False
2016-07-24,9,False
2016-07-31,11,False
2016-08-07,12,False
2016-08-14,8,False
2016-08-21,9,False
2016-08-28,18,False
2016-09-04,12,False
2016-09-11,11,False
2016-09-18,5,False
2016-09-25,11,False
2016-10-02,10,False
2016-10-09,10,False
2016-10-16,13,False
2016-10-23,17,False
2016-10-30,19,False
2016-11-06,28,False
2016-11-13,18,False
2016-11-20,13,False
2016-11-27,16,False
2016-12-04,10,False
2016-12-11,18,False
2016-12-18,17,False
2016-12-25,14,False
2017-01-01,13,False
2017-01-08,10,False
2017-01-15,11,False
2017-01-22,17,False
2017-01-29,17,False
2017-02-05,9,False
2017-02-12,12,False
2017-02-19,17,False
2017-02-26,14,False
2017-03-05,15,False
2017-03-12,9,False
2017-03-19,13,False
2017-03-26,18,False
2017-04-02,15,False
2017-04-09,15,False
2017-04-16,9,False
2017-04-23,9,False
2017-04-30,12,False
2017-05-07,13,False
2017-05-14,11,False
2017-05-21,17,False
2017-05-28,12,False
2017-06-04,20,False
2017-06-11,17,False
2017-06-18,17,False
2017-06-25,9,False
2017-07-02,6,False
2017-07-09,13,False
2017-07-16,12,False
2017-07-23,26,False
2017-07-30,12,False
2017-08-06,11,False
2017-08-13,14,False
2017-08-20,15,False
2017-08-27,13,False
2017-09-03,17,False
2017-09-10,13,False
2017-09-17,17,False
2017-09-24,13,False
2017-10-01,9,False
2017-10-08,15,False
2017-10-15,9,False
2017-10-22,19,False
2017-10-29,22,False
2017-11-05,16,False
2017-11-12,18,False
2017-11-19,6,False
2017-11-26,15,False
2017-12-03,14,False
2017-12-10,18,False
2017-12-17,18,True
