date,bitcoin,Universal Cur.,isPartial
2017-10-08,21,0,False
2017-10-15,22,0,False
2017-10-22,23,0,False
2017-10-29,30,0,False
2017-11-05,32,0,False
2017-11-12,34,0,False
2017-11-19,30,0,False
2017-11-26,72,0,False
2017-12-03,100,0,False
2017-12-10,97,0,True
