date,bitcoin,Sequence,isPartial
2012-12-16,0,3,False
2012-12-23,0,2,False
2012-12-30,1,2,False
2013-01-06,1,3,False
2013-01-13,1,3,False
2013-01-20,1,3,False
2013-01-27,1,3,False
2013-02-03,1,3,False
2013-02-10,1,3,False
2013-02-17,1,3,False
2013-02-24,1,3,False
2013-03-03,1,3,False
2013-03-10,2,3,False
2013-03-17,2,3,False
2013-03-24,4,3,False
2013-03-31,6,3,False
2013-04-07,12,3,False
2013-04-14,6,3,False
2013-04-21,4,3,False
2013-04-28,3,3,False
2013-05-05,3,3,False
2013-05-12,3,3,False
2013-05-19,2,3,False
2013-05-26,2,3,False
2013-06-02,2,3,False
2013-06-09,2,2,False
2013-06-16,2,2,False
2013-06-23,2,2,False
2013-06-30,2,2,False
2013-07-07,2,2,False
2013-07-14,1,2,False
2013-07-21,1,2,False
2013-07-28,2,2,False
2013-08-04,2,2,False
2013-08-11,2,2,False
2013-08-18,2,2,False
2013-08-25,2,2,False
2013-09-01,1,2,False
2013-09-08,1,3,False
2013-09-15,1,3,False
2013-09-22,1,3,False
2013-09-29,3,3,False
2013-10-06,2,3,False
2013-10-13,2,3,False
2013-10-20,2,3,False
2013-10-27,5,3,False
2013-11-03,5,3,False
2013-11-10,6,3,False
2013-11-17,13,3,False
2013-11-24,15,3,False
2013-12-01,15,3,False
2013-12-08,11,3,False
2013-12-15,11,3,False
2013-12-22,7,2,False
2013-12-29,6,2,False
2014-01-05,7,3,False
2014-01-12,7,3,False
2014-01-19,7,3,False
2014-01-26,7,3,False
2014-02-02,6,3,False
2014-02-09,8,3,False
2014-02-16,7,3,False
2014-02-23,11,3,False
2014-03-02,9,3,False
2014-03-09,5,3,False
2014-03-16,4,3,False
2014-03-23,4,3,False
2014-03-30,4,3,False
2014-04-06,4,3,False
2014-04-13,3,3,False
2014-04-20,3,3,False
2014-04-27,3,3,False
2014-05-04,3,3,False
2014-05-11,3,3,False
2014-05-18,3,3,False
2014-05-25,3,2,False
2014-06-01,3,3,False
2014-06-08,3,2,False
2014-06-15,3,2,False
2014-06-22,2,2,False
2014-06-29,3,2,False
2014-07-06,2,2,False
2014-07-13,3,2,False
2014-07-20,2,2,False
2014-07-27,2,2,False
2014-08-03,2,2,False
2014-08-10,3,2,False
2014-08-17,3,2,False
2014-08-24,2,2,False
2014-08-31,3,3,False
2014-09-07,3,3,False
2014-09-14,3,3,False
2014-09-21,3,3,False
2014-09-28,3,3,False
2014-10-05,3,3,False
2014-10-12,2,3,False
2014-10-19,2,3,False
2014-10-26,2,3,False
2014-11-02,2,3,False
2014-11-09,3,3,False
2014-11-16,2,3,False
2014-11-23,2,3,False
2014-11-30,2,3,False
2014-12-07,3,3,False
2014-12-14,3,3,False
2014-12-21,3,2,False
2014-12-28,2,2,False
2015-01-04,3,3,False
2015-01-11,3,3,False
2015-01-18,3,3,False
2015-01-25,3,3,False
2015-02-01,2,3,False
2015-02-08,3,3,False
2015-02-15,3,3,False
2015-02-22,2,3,False
2015-03-01,2,3,False
2015-03-08,3,3,False
2015-03-15,2,3,False
2015-03-22,2,3,False
2015-03-29,2,3,False
2015-04-05,2,3,False
2015-04-12,2,3,False
2015-04-19,2,3,False
2015-04-26,2,3,False
2015-05-03,2,3,False
2015-05-10,2,3,False
2015-05-17,2,3,False
2015-05-24,2,3,False
2015-05-31,2,3,False
2015-06-07,2,3,False
2015-06-14,2,3,False
2015-06-21,2,2,False
2015-06-28,3,2,False
2015-07-05,3,2,False
2015-07-12,2,2,False
2015-07-19,2,2,False
2015-07-26,2,2,False
2015-08-02,2,2,False
2015-08-09,2,2,False
2015-08-16,3,2,False
2015-08-23,2,2,False
2015-08-30,2,3,False
2015-09-06,2,3,False
2015-09-13,2,3,False
2015-09-20,2,3,False
2015-09-27,2,3,False
2015-10-04,2,3,False
2015-10-11,2,3,False
2015-10-18,2,3,False
2015-10-25,3,3,False
2015-11-01,4,3,False
2015-11-08,3,3,False
2015-11-15,3,3,False
2015-11-22,3,3,False
2015-11-29,3,3,False
2015-12-06,4,3,False
2015-12-13,3,3,False
2015-12-20,3,2,False
2015-12-27,3,2,False
2016-01-03,3,3,False
2016-01-10,3,3,False
2016-01-17,3,3,False
2016-01-24,3,3,False
2016-01-31,2,3,False
2016-02-07,3,3,False
2016-02-14,3,3,False
2016-02-21,3,3,False
2016-02-28,3,3,False
2016-03-06,3,3,False
2016-03-13,2,3,False
2016-03-20,2,3,False
2016-03-27,2,3,False
2016-04-03,2,3,False
2016-04-10,2,3,False
2016-04-17,3,3,False
2016-04-24,3,3,False
2016-05-01,4,3,False
2016-05-08,3,3,False
