date,bitcoin,Pura,isPartial
2012-12-16,0,1,False
2012-12-23,0,1,False
2012-12-30,1,1,False
2013-01-06,1,1,False
2013-01-13,1,1,False
2013-01-20,1,1,False
2013-01-27,1,1,False
2013-02-03,1,1,False
2013-02-10,1,1,False
2013-02-17,1,1,False
2013-02-24,1,2,False
2013-03-03,1,2,False
2013-03-10,2,2,False
2013-03-17,2,2,False
2013-03-24,4,1,False
2013-03-31,6,1,False
2013-04-07,12,2,False
2013-04-14,6,1,False
2013-04-21,4,1,False
2013-04-28,3,2,False
2013-05-05,3,2,False
2013-05-12,3,2,False
2013-05-19,2,2,False
2013-05-26,2,2,False
2013-06-02,2,2,False
2013-06-09,2,2,False
2013-06-16,2,2,False
2013-06-23,2,2,False
2013-06-30,2,2,False
2013-07-07,2,1,False
2013-07-14,1,2,False
2013-07-21,1,2,False
2013-07-28,2,2,False
2013-08-04,2,1,False
2013-08-11,2,2,False
2013-08-18,2,2,False
2013-08-25,2,2,False
2013-09-01,1,2,False
2013-09-08,1,2,False
2013-09-15,1,2,False
2013-09-22,1,2,False
2013-09-29,3,2,False
2013-10-06,2,2,False
2013-10-13,2,1,False
2013-10-20,2,1,False
2013-10-27,5,1,False
2013-11-03,5,1,False
2013-11-10,6,1,False
2013-11-17,13,1,False
2013-11-24,15,1,False
2013-12-01,15,1,False
2013-12-08,11,1,False
2013-12-15,11,1,False
2013-12-22,7,1,False
2013-12-29,6,1,False
2014-01-05,7,1,False
2014-01-12,7,1,False
2014-01-19,7,1,False
2014-01-26,7,1,False
2014-02-02,6,1,False
2014-02-09,8,2,False
2014-02-16,7,2,False
2014-02-23,11,2,False
2014-03-02,9,2,False
2014-03-09,5,2,False
2014-03-16,4,2,False
2014-03-23,4,2,False
2014-03-30,4,2,False
2014-04-06,4,2,False
2014-04-13,3,2,False
2014-04-20,3,2,False
2014-04-27,3,2,False
2014-05-04,3,2,False
2014-05-11,3,2,False
2014-05-18,3,2,False
2014-05-25,3,2,False
2014-06-01,3,2,False
2014-06-08,3,2,False
2014-06-15,3,2,False
2014-06-22,2,2,False
2014-06-29,3,2,False
2014-07-06,2,2,False
2014-07-13,3,2,False
2014-07-20,2,2,False
2014-07-27,2,2,False
2014-08-03,2,2,False
2014-08-10,3,2,False
2014-08-17,3,2,False
2014-08-24,2,2,False
2014-08-31,3,2,False
2014-09-07,3,2,False
2014-09-14,3,2,False
2014-09-21,3,2,False
2014-09-28,3,2,False
2014-10-05,3,2,False
2014-10-12,2,2,False
2014-10-19,2,2,False
2014-10-26,2,2,False
2014-11-02,2,2,False
2014-11-09,3,2,False
2014-11-16,2,2,False
2014-11-23,2,2,False
2014-11-30,2,2,False
2014-12-07,3,2,False
2014-12-14,3,2,False
2014-12-21,3,1,False
2014-12-28,2,1,False
2015-01-04,3,2,False
2015-01-11,3,2,False
2015-01-18,3,2,False
2015-01-25,3,2,False
2015-02-01,2,2,False
