date,Bitcoin Planet,isPartial
2016-12-25,0,False
2017-01-01,20,False
2017-01-08,14,False
2017-01-15,0,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,9,False
2017-02-12,7,False
2017-02-19,7,False
2017-02-26,2,False
2017-03-05,7,False
2017-03-12,0,False
2017-03-19,5,False
2017-03-26,2,False
2017-04-02,5,False
2017-04-09,2,False
2017-04-16,7,False
2017-04-23,5,False
2017-04-30,5,False
2017-05-07,5,False
2017-05-14,5,False
2017-05-21,13,False
2017-05-28,3,False
2017-06-04,10,False
2017-06-11,10,False
2017-06-18,7,False
2017-06-25,8,False
2017-07-02,3,False
2017-07-09,18,False
2017-07-16,20,False
2017-07-23,7,False
2017-07-30,15,False
2017-08-06,17,False
2017-08-13,15,False
2017-08-20,12,False
2017-08-27,17,False
2017-09-03,15,False
2017-09-10,9,False
2017-09-17,19,False
2017-09-24,12,False
2017-10-01,19,False
2017-10-08,29,False
2017-10-15,26,False
2017-10-22,25,False
2017-10-29,23,False
2017-11-05,18,False
2017-11-12,34,False
2017-11-19,25,False
2017-11-26,62,False
2017-12-03,65,False
2017-12-10,100,False
2017-12-17,72,True
