date,Stealthcoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,4,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,6,False
2017-04-16,7,False
2017-04-23,4,False
2017-04-30,0,False
2017-05-07,7,False
2017-05-14,10,False
2017-05-21,12,False
2017-05-28,6,False
2017-06-04,6,False
2017-06-11,22,False
2017-06-18,16,False
2017-06-25,6,False
2017-07-02,16,False
2017-07-09,10,False
2017-07-16,30,False
2017-07-23,12,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,8,False
2017-08-20,10,False
2017-08-27,0,False
2017-09-03,22,False
2017-09-10,13,False
2017-09-17,8,False
2017-09-24,13,False
2017-10-01,0,False
2017-10-08,5,False
2017-10-15,4,False
2017-10-22,7,False
2017-10-29,15,False
2017-11-05,13,False
2017-11-12,25,False
2017-11-19,7,False
2017-11-26,21,False
2017-12-03,18,False
2017-12-10,27,False
2017-12-17,100,True
