date,Mooncoin,isPartial
2016-12-25,6,False
2017-01-01,6,False
2017-01-08,4,False
2017-01-15,16,False
2017-01-22,8,False
2017-01-29,16,False
2017-02-05,9,False
2017-02-12,18,False
2017-02-19,10,False
2017-02-26,9,False
2017-03-05,4,False
2017-03-12,6,False
2017-03-19,4,False
2017-03-26,10,False
2017-04-02,9,False
2017-04-09,7,False
2017-04-16,9,False
2017-04-23,8,False
2017-04-30,11,False
2017-05-07,8,False
2017-05-14,23,False
2017-05-21,56,False
2017-05-28,38,False
2017-06-04,100,False
2017-06-11,59,False
2017-06-18,44,False
2017-06-25,39,False
2017-07-02,23,False
2017-07-09,19,False
2017-07-16,20,False
2017-07-23,26,False
2017-07-30,19,False
2017-08-06,14,False
2017-08-13,18,False
2017-08-20,62,False
2017-08-27,30,False
2017-09-03,19,False
2017-09-10,21,False
2017-09-17,14,False
2017-09-24,23,False
2017-10-01,20,False
2017-10-08,11,False
2017-10-15,15,False
2017-10-22,11,False
2017-10-29,12,False
2017-11-05,16,False
2017-11-12,23,False
2017-11-19,14,False
2017-11-26,25,False
2017-12-03,28,False
2017-12-10,34,False
2017-12-17,44,True
