date,Eryllium,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,28,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,13,False
2017-02-12,0,False
2017-02-19,27,False
2017-02-26,40,False
2017-03-05,13,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,13,False
2017-04-02,14,False
2017-04-09,14,False
2017-04-16,14,False
2017-04-23,40,False
2017-04-30,27,False
2017-05-07,13,False
2017-05-14,14,False
2017-05-21,44,False
2017-05-28,29,False
2017-06-04,100,False
2017-06-11,29,False
2017-06-18,14,False
2017-06-25,15,False
2017-07-02,29,False
2017-07-09,0,False
2017-07-16,43,False
2017-07-23,0,False
2017-07-30,28,False
2017-08-06,28,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,14,False
2017-09-10,14,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,27,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,13,False
2017-11-12,26,False
2017-11-19,0,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,26,False
2017-12-17,0,True
