date,CannabisCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,6,False
2017-01-15,11,False
2017-01-22,6,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,6,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,6,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,11,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,6,False
2017-05-14,0,False
2017-05-21,12,False
2017-05-28,0,False
2017-06-04,47,False
2017-06-11,49,False
2017-06-18,100,False
2017-06-25,25,False
2017-07-02,0,False
2017-07-09,6,False
2017-07-16,25,False
2017-07-23,12,False
2017-07-30,12,False
2017-08-06,18,False
2017-08-13,6,False
2017-08-20,95,False
2017-08-27,36,False
2017-09-03,52,False
2017-09-10,40,False
2017-09-17,17,False
2017-09-24,58,False
2017-10-01,12,False
2017-10-08,0,False
2017-10-15,11,False
2017-10-22,11,False
2017-10-29,23,False
2017-11-05,28,False
2017-11-12,22,False
2017-11-19,39,False
2017-11-26,49,False
2017-12-03,83,False
2017-12-10,50,False
2017-12-17,39,True
