date,Hshare,isPartial
2016-12-25,5,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,4,False
2017-01-22,13,False
2017-01-29,4,False
2017-02-05,8,False
2017-02-12,8,False
2017-02-19,9,False
2017-02-26,4,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,9,False
2017-04-02,8,False
2017-04-09,13,False
2017-04-16,4,False
2017-04-23,17,False
2017-04-30,4,False
2017-05-07,9,False
2017-05-14,0,False
2017-05-21,9,False
2017-05-28,14,False
2017-06-04,4,False
2017-06-11,5,False
2017-06-18,4,False
2017-06-25,5,False
2017-07-02,5,False
2017-07-09,5,False
2017-07-16,0,False
2017-07-23,14,False
2017-07-30,0,False
2017-08-06,4,False
2017-08-13,18,False
2017-08-20,18,False
2017-08-27,67,False
2017-09-03,100,False
2017-09-10,21,False
2017-09-17,22,False
2017-09-24,26,False
2017-10-01,39,False
2017-10-08,47,False
2017-10-15,21,False
2017-10-22,17,False
2017-10-29,13,False
2017-11-05,17,False
2017-11-12,79,False
2017-11-19,12,False
2017-11-26,21,False
2017-12-03,33,False
2017-12-10,33,False
2017-12-17,47,True
