date,BatCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,7,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,6,False
2017-02-05,7,False
2017-02-12,0,False
2017-02-19,7,False
2017-02-26,6,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,6,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,7,False
2017-05-07,13,False
2017-05-14,0,False
2017-05-21,21,False
2017-05-28,28,False
2017-06-04,68,False
2017-06-11,21,False
2017-06-18,20,False
2017-06-25,14,False
2017-07-02,29,False
2017-07-09,0,False
2017-07-16,7,False
2017-07-23,0,False
2017-07-30,7,False
2017-08-06,27,False
2017-08-13,34,False
2017-08-20,7,False
2017-08-27,20,False
2017-09-03,14,False
2017-09-10,20,False
2017-09-17,13,False
2017-09-24,13,False
2017-10-01,20,False
2017-10-08,7,False
2017-10-15,7,False
2017-10-22,6,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,6,False
2017-11-19,32,False
2017-11-26,13,False
2017-12-03,32,False
2017-12-10,51,False
2017-12-17,100,True
