date,Blocknet,isPartial
2016-12-25,0,False
2017-01-01,11,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,5,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,5,False
2017-03-19,5,False
2017-03-26,10,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,25,False
2017-04-23,35,False
2017-04-30,15,False
2017-05-07,5,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,11,False
2017-06-04,26,False
2017-06-11,21,False
2017-06-18,31,False
2017-06-25,22,False
2017-07-02,16,False
2017-07-09,21,False
2017-07-16,6,False
2017-07-23,53,False
2017-07-30,26,False
2017-08-06,37,False
2017-08-13,32,False
2017-08-20,47,False
2017-08-27,100,False
2017-09-03,56,False
2017-09-10,56,False
2017-09-17,26,False
2017-09-24,36,False
2017-10-01,36,False
2017-10-08,35,False
2017-10-15,10,False
2017-10-22,35,False
2017-10-29,20,False
2017-11-05,84,False
2017-11-12,15,False
2017-11-19,24,False
2017-11-26,19,False
2017-12-03,29,False
2017-12-10,20,False
2017-12-17,49,True
