date,Impact,isPartial
2016-12-25,52,False
2017-01-01,69,False
2017-01-08,79,False
2017-01-15,83,False
2017-01-22,85,False
2017-01-29,88,False
2017-02-05,88,False
2017-02-12,89,False
2017-02-19,92,False
2017-02-26,100,False
2017-03-05,99,False
2017-03-12,92,False
2017-03-19,93,False
2017-03-26,94,False
2017-04-02,91,False
2017-04-09,87,False
2017-04-16,89,False
2017-04-23,94,False
2017-04-30,90,False
2017-05-07,92,False
2017-05-14,87,False
2017-05-21,83,False
2017-05-28,81,False
2017-06-04,79,False
2017-06-11,79,False
2017-06-18,75,False
2017-06-25,76,False
2017-07-02,72,False
2017-07-09,70,False
2017-07-16,71,False
2017-07-23,70,False
2017-07-30,71,False
2017-08-06,70,False
2017-08-13,72,False
2017-08-20,75,False
2017-08-27,79,False
2017-09-03,93,False
2017-09-10,92,False
2017-09-17,86,False
2017-09-24,86,False
2017-10-01,84,False
2017-10-08,87,False
2017-10-15,87,False
2017-10-22,90,False
2017-10-29,93,False
2017-11-05,96,False
2017-11-12,97,False
2017-11-19,83,False
2017-11-26,95,False
2017-12-03,93,False
2017-12-10,89,False
2017-12-17,77,True
