date,Steem Dollars,isPartial
2016-12-25,6,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,10,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,5,False
2017-03-19,0,False
2017-03-26,5,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,5,False
2017-04-23,14,False
2017-04-30,15,False
2017-05-07,5,False
2017-05-14,0,False
2017-05-21,5,False
2017-05-28,11,False
2017-06-04,30,False
2017-06-11,5,False
2017-06-18,0,False
2017-06-25,37,False
2017-07-02,37,False
2017-07-09,31,False
2017-07-16,11,False
2017-07-23,0,False
2017-07-30,5,False
2017-08-06,10,False
2017-08-13,5,False
2017-08-20,35,False
2017-08-27,36,False
2017-09-03,0,False
2017-09-10,15,False
2017-09-17,0,False
2017-09-24,10,False
2017-10-01,5,False
2017-10-08,5,False
2017-10-15,25,False
2017-10-22,0,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,5,False
2017-11-19,24,False
2017-11-26,14,False
2017-12-03,100,False
2017-12-10,62,False
2017-12-17,47,True
