date,Unobtanium,isPartial
2016-12-25,13,False
2017-01-01,3,False
2017-01-08,20,False
2017-01-15,26,False
2017-01-22,14,False
2017-01-29,17,False
2017-02-05,11,False
2017-02-12,14,False
2017-02-19,14,False
2017-02-26,11,False
2017-03-05,3,False
2017-03-12,11,False
2017-03-19,14,False
2017-03-26,11,False
2017-04-02,6,False
2017-04-09,18,False
2017-04-16,6,False
2017-04-23,14,False
2017-04-30,14,False
2017-05-07,11,False
2017-05-14,12,False
2017-05-21,12,False
2017-05-28,12,False
2017-06-04,12,False
2017-06-11,12,False
2017-06-18,3,False
2017-06-25,0,False
2017-07-02,19,False
2017-07-09,18,False
2017-07-16,16,False
2017-07-23,9,False
2017-07-30,12,False
2017-08-06,6,False
2017-08-13,15,False
2017-08-20,18,False
2017-08-27,12,False
2017-09-03,12,False
2017-09-10,14,False
2017-09-17,12,False
2017-09-24,26,False
2017-10-01,20,False
2017-10-08,23,False
2017-10-15,100,False
2017-10-22,20,False
2017-10-29,11,False
2017-11-05,19,False
2017-11-12,11,False
2017-11-19,17,False
2017-11-26,14,False
2017-12-03,47,False
2017-12-10,25,False
2017-12-17,35,True
