date,Ubiq,isPartial
2016-12-25,17,False
2017-01-01,12,False
2017-01-08,18,False
2017-01-15,22,False
2017-01-22,17,False
2017-01-29,28,False
2017-02-05,54,False
2017-02-12,41,False
2017-02-19,18,False
2017-02-26,29,False
2017-03-05,24,False
2017-03-12,38,False
2017-03-19,30,False
2017-03-26,26,False
2017-04-02,26,False
2017-04-09,25,False
2017-04-16,22,False
2017-04-23,32,False
2017-04-30,16,False
2017-05-07,23,False
2017-05-14,23,False
2017-05-21,40,False
2017-05-28,54,False
2017-06-04,50,False
2017-06-11,43,False
2017-06-18,51,False
2017-06-25,39,False
2017-07-02,35,False
2017-07-09,37,False
2017-07-16,63,False
2017-07-23,53,False
2017-07-30,45,False
2017-08-06,40,False
2017-08-13,63,False
2017-08-20,45,False
2017-08-27,80,False
2017-09-03,57,False
2017-09-10,33,False
2017-09-17,34,False
2017-09-24,36,False
2017-10-01,54,False
2017-10-08,61,False
2017-10-15,40,False
2017-10-22,42,False
2017-10-29,52,False
2017-11-05,63,False
2017-11-12,62,False
2017-11-19,74,False
2017-11-26,67,False
2017-12-03,50,False
2017-12-10,78,False
2017-12-17,100,True
