date,Beatcoin,isPartial
2016-12-25,5,False
2017-01-01,0,False
2017-01-08,5,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,0,False
2017-02-12,14,False
2017-02-19,0,False
2017-02-26,18,False
2017-03-05,13,False
2017-03-12,0,False
2017-03-19,14,False
2017-03-26,5,False
2017-04-02,9,False
2017-04-09,5,False
2017-04-16,14,False
2017-04-23,0,False
2017-04-30,23,False
2017-05-07,18,False
2017-05-14,20,False
2017-05-21,20,False
2017-05-28,25,False
2017-06-04,15,False
2017-06-11,20,False
2017-06-18,14,False
2017-06-25,20,False
2017-07-02,15,False
2017-07-09,20,False
2017-07-16,20,False
2017-07-23,35,False
2017-07-30,29,False
2017-08-06,5,False
2017-08-13,10,False
2017-08-20,14,False
2017-08-27,15,False
2017-09-03,39,False
2017-09-10,47,False
2017-09-17,19,False
2017-09-24,9,False
2017-10-01,9,False
2017-10-08,14,False
2017-10-15,28,False
2017-10-22,42,False
2017-10-29,32,False
2017-11-05,23,False
2017-11-12,32,False
2017-11-19,45,False
2017-11-26,58,False
2017-12-03,96,False
2017-12-10,100,False
2017-12-17,70,True
