date,SaluS,isPartial
2016-12-25,70,False
2017-01-01,77,False
2017-01-08,88,False
2017-01-15,85,False
2017-01-22,76,False
2017-01-29,85,False
2017-02-05,88,False
2017-02-12,83,False
2017-02-19,81,False
2017-02-26,88,False
2017-03-05,86,False
2017-03-12,76,False
2017-03-19,77,False
2017-03-26,77,False
2017-04-02,77,False
2017-04-09,72,False
2017-04-16,81,False
2017-04-23,76,False
2017-04-30,70,False
2017-05-07,71,False
2017-05-14,68,False
2017-05-21,76,False
2017-05-28,63,False
2017-06-04,63,False
2017-06-11,100,False
2017-06-18,69,False
2017-06-25,72,False
2017-07-02,71,False
2017-07-09,74,False
2017-07-16,67,False
2017-07-23,74,False
2017-07-30,71,False
2017-08-06,73,False
2017-08-13,68,False
2017-08-20,72,False
2017-08-27,79,False
2017-09-03,80,False
2017-09-10,84,False
2017-09-17,88,False
2017-09-24,87,False
2017-10-01,98,False
2017-10-08,100,False
2017-10-15,98,False
2017-10-22,98,False
2017-10-29,92,False
2017-11-05,97,False
2017-11-12,93,False
2017-11-19,93,False
2017-11-26,98,False
2017-12-03,89,False
2017-12-10,90,False
2017-12-17,92,True
