date,GridCoin,isPartial
2016-12-25,9,False
2017-01-01,11,False
2017-01-08,10,False
2017-01-15,3,False
2017-01-22,0,False
2017-01-29,15,False
2017-02-05,5,False
2017-02-12,10,False
2017-02-19,10,False
2017-02-26,7,False
2017-03-05,7,False
2017-03-12,7,False
2017-03-19,10,False
2017-03-26,20,False
2017-04-02,23,False
2017-04-09,21,False
2017-04-16,13,False
2017-04-23,10,False
2017-04-30,15,False
2017-05-07,46,False
2017-05-14,13,False
2017-05-21,25,False
2017-05-28,33,False
2017-06-04,50,False
2017-06-11,100,False
2017-06-18,39,False
2017-06-25,75,False
2017-07-02,39,False
2017-07-09,19,False
2017-07-16,53,False
2017-07-23,30,False
2017-07-30,13,False
2017-08-06,34,False
2017-08-13,37,False
2017-08-20,21,False
2017-08-27,37,False
2017-09-03,52,False
2017-09-10,25,False
2017-09-17,41,False
2017-09-24,23,False
2017-10-01,18,False
2017-10-08,18,False
2017-10-15,23,False
2017-10-22,13,False
2017-10-29,15,False
2017-11-05,35,False
2017-11-12,29,False
2017-11-19,27,False
2017-11-26,49,False
2017-12-03,74,False
2017-12-10,79,False
2017-12-17,95,True
