date,Blockpool,isPartial
2016-12-25,12,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,11,False
2017-01-22,0,False
2017-01-29,11,False
2017-02-05,11,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,10,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,22,False
2017-03-26,11,False
2017-04-02,33,False
2017-04-09,22,False
2017-04-16,11,False
2017-04-23,32,False
2017-04-30,88,False
2017-05-07,11,False
2017-05-14,11,False
2017-05-21,23,False
2017-05-28,12,False
2017-06-04,23,False
2017-06-11,11,False
2017-06-18,28,False
2017-06-25,29,False
2017-07-02,35,False
2017-07-09,12,False
2017-07-16,12,False
2017-07-23,0,False
2017-07-30,11,False
2017-08-06,11,False
2017-08-13,17,False
2017-08-20,11,False
2017-08-27,17,False
2017-09-03,11,False
2017-09-10,16,False
2017-09-17,11,False
2017-09-24,27,False
2017-10-01,22,False
2017-10-08,11,False
2017-10-15,16,False
2017-10-22,21,False
2017-10-29,21,False
2017-11-05,100,False
2017-11-12,26,False
2017-11-19,21,False
2017-11-26,31,False
2017-12-03,27,False
2017-12-10,32,False
2017-12-17,14,True
