date,Evil Coin,isPartial
2016-12-25,11,False
2017-01-01,9,False
2017-01-08,9,False
2017-01-15,16,False
2017-01-22,100,False
2017-01-29,65,False
2017-02-05,40,False
2017-02-12,22,False
2017-02-19,14,False
2017-02-26,12,False
2017-03-05,10,False
2017-03-12,6,False
2017-03-19,6,False
2017-03-26,7,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,3,False
2017-05-14,3,False
2017-05-21,5,False
2017-05-28,4,False
2017-06-04,2,False
2017-06-11,5,False
2017-06-18,3,False
2017-06-25,3,False
2017-07-02,5,False
2017-07-09,3,False
2017-07-16,4,False
2017-07-23,2,False
2017-07-30,2,False
2017-08-06,3,False
2017-08-13,6,False
2017-08-20,4,False
2017-08-27,4,False
2017-09-03,4,False
2017-09-10,3,False
2017-09-17,3,False
2017-09-24,6,False
2017-10-01,5,False
2017-10-08,3,False
2017-10-15,3,False
2017-10-22,6,False
2017-10-29,5,False
2017-11-05,2,False
2017-11-12,4,False
2017-11-19,3,False
2017-11-26,2,False
2017-12-03,5,False
2017-12-10,5,False
2017-12-17,6,True
