date,ClubCoin,isPartial
2016-12-25,6,False
2017-01-01,9,False
2017-01-08,4,False
2017-01-15,3,False
2017-01-22,4,False
2017-01-29,5,False
2017-02-05,3,False
2017-02-12,3,False
2017-02-19,2,False
2017-02-26,5,False
2017-03-05,2,False
2017-03-12,5,False
2017-03-19,3,False
2017-03-26,7,False
2017-04-02,10,False
2017-04-09,3,False
2017-04-16,5,False
2017-04-23,3,False
2017-04-30,7,False
2017-05-07,10,False
2017-05-14,7,False
2017-05-21,9,False
2017-05-28,5,False
2017-06-04,8,False
2017-06-11,4,False
2017-06-18,11,False
2017-06-25,9,False
2017-07-02,5,False
2017-07-09,6,False
2017-07-16,6,False
2017-07-23,4,False
2017-07-30,6,False
2017-08-06,7,False
2017-08-13,5,False
2017-08-20,6,False
2017-08-27,4,False
2017-09-03,3,False
2017-09-10,2,False
2017-09-17,8,False
2017-09-24,5,False
2017-10-01,2,False
2017-10-08,6,False
2017-10-15,9,False
2017-10-22,7,False
2017-10-29,41,False
2017-11-05,15,False
2017-11-12,23,False
2017-11-19,100,False
2017-11-26,61,False
2017-12-03,53,False
2017-12-10,49,False
2017-12-17,53,True
