date,Quotient,isPartial
2016-12-25,26,False
2017-01-01,55,False
2017-01-08,73,False
2017-01-15,71,False
2017-01-22,80,False
2017-01-29,77,False
2017-02-05,76,False
2017-02-12,74,False
2017-02-19,68,False
2017-02-26,77,False
2017-03-05,68,False
2017-03-12,61,False
2017-03-19,67,False
2017-03-26,61,False
2017-04-02,60,False
2017-04-09,53,False
2017-04-16,57,False
2017-04-23,63,False
2017-04-30,66,False
2017-05-07,63,False
2017-05-14,60,False
2017-05-21,50,False
2017-05-28,49,False
2017-06-04,51,False
2017-06-11,46,False
2017-06-18,45,False
2017-06-25,41,False
2017-07-02,39,False
2017-07-09,38,False
2017-07-16,36,False
2017-07-23,38,False
2017-07-30,42,False
2017-08-06,41,False
2017-08-13,50,False
2017-08-20,65,False
2017-08-27,80,False
2017-09-03,91,False
2017-09-10,100,False
2017-09-17,95,False
2017-09-24,98,False
2017-10-01,93,False
2017-10-08,91,False
2017-10-15,92,False
2017-10-22,84,False
2017-10-29,78,False
2017-11-05,82,False
2017-11-12,86,False
2017-11-19,56,False
2017-11-26,76,False
2017-12-03,83,False
2017-12-10,81,False
2017-12-17,57,True
