date,Infinitecoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,6,False
2017-02-05,5,False
2017-02-12,5,False
2017-02-19,11,False
2017-02-26,0,False
2017-03-05,5,False
2017-03-12,11,False
2017-03-19,8,False
2017-03-26,5,False
2017-04-02,0,False
2017-04-09,11,False
2017-04-16,5,False
2017-04-23,5,False
2017-04-30,0,False
2017-05-07,16,False
2017-05-14,12,False
2017-05-21,97,False
2017-05-28,59,False
2017-06-04,57,False
2017-06-11,20,False
2017-06-18,23,False
2017-06-25,18,False
2017-07-02,21,False
2017-07-09,12,False
2017-07-16,18,False
2017-07-23,23,False
2017-07-30,31,False
2017-08-06,14,False
2017-08-13,17,False
2017-08-20,8,False
2017-08-27,11,False
2017-09-03,11,False
2017-09-10,5,False
2017-09-17,16,False
2017-09-24,6,False
2017-10-01,11,False
2017-10-08,17,False
2017-10-15,8,False
2017-10-22,5,False
2017-10-29,14,False
2017-11-05,19,False
2017-11-12,8,False
2017-11-19,11,False
2017-11-26,21,False
2017-12-03,16,False
2017-12-10,24,False
2017-12-17,100,True
