date,BitBay,isPartial
2016-12-25,2,False
2017-01-01,6,False
2017-01-08,3,False
2017-01-15,2,False
2017-01-22,4,False
2017-01-29,3,False
2017-02-05,6,False
2017-02-12,6,False
2017-02-19,5,False
2017-02-26,5,False
2017-03-05,5,False
2017-03-12,8,False
2017-03-19,9,False
2017-03-26,5,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,4,False
2017-04-23,6,False
2017-04-30,6,False
2017-05-07,7,False
2017-05-14,7,False
2017-05-21,13,False
2017-05-28,9,False
2017-06-04,14,False
2017-06-11,19,False
2017-06-18,11,False
2017-06-25,11,False
2017-07-02,13,False
2017-07-09,10,False
2017-07-16,13,False
2017-07-23,10,False
2017-07-30,11,False
2017-08-06,16,False
2017-08-13,19,False
2017-08-20,21,False
2017-08-27,25,False
2017-09-03,26,False
2017-09-10,17,False
2017-09-17,22,False
2017-09-24,17,False
2017-10-01,16,False
2017-10-08,20,False
2017-10-15,20,False
2017-10-22,21,False
2017-10-29,22,False
2017-11-05,34,False
2017-11-12,45,False
2017-11-19,43,False
2017-11-26,50,False
2017-12-03,60,False
2017-12-10,63,False
2017-12-17,100,True
