date,Musicoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,2,False
2017-01-29,5,False
2017-02-05,0,False
2017-02-12,2,False
2017-02-19,5,False
2017-02-26,6,False
2017-03-05,4,False
2017-03-12,4,False
2017-03-19,1,False
2017-03-26,13,False
2017-04-02,14,False
2017-04-09,19,False
2017-04-16,14,False
2017-04-23,12,False
2017-04-30,6,False
2017-05-07,8,False
2017-05-14,10,False
2017-05-21,32,False
2017-05-28,19,False
2017-06-04,48,False
2017-06-11,16,False
2017-06-18,29,False
2017-06-25,51,False
2017-07-02,47,False
2017-07-09,37,False
2017-07-16,24,False
2017-07-23,23,False
2017-07-30,21,False
2017-08-06,23,False
2017-08-13,22,False
2017-08-20,41,False
2017-08-27,100,False
2017-09-03,38,False
2017-09-10,32,False
2017-09-17,23,False
2017-09-24,29,False
2017-10-01,30,False
2017-10-08,32,False
2017-10-15,27,False
2017-10-22,20,False
2017-10-29,12,False
2017-11-05,19,False
2017-11-12,22,False
2017-11-19,14,False
2017-11-26,29,False
2017-12-03,44,False
2017-12-10,54,False
2017-12-17,80,True
