date,Bitcore,isPartial
2016-12-25,3,False
2017-01-01,4,False
2017-01-08,1,False
2017-01-15,2,False
2017-01-22,1,False
2017-01-29,4,False
2017-02-05,4,False
2017-02-12,2,False
2017-02-19,1,False
2017-02-26,0,False
2017-03-05,6,False
2017-03-12,7,False
2017-03-19,4,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,0,False
2017-04-23,5,False
2017-04-30,2,False
2017-05-07,10,False
2017-05-14,3,False
2017-05-21,11,False
2017-05-28,5,False
2017-06-04,4,False
2017-06-11,5,False
2017-06-18,8,False
2017-06-25,7,False
2017-07-02,9,False
2017-07-09,5,False
2017-07-16,12,False
2017-07-23,8,False
2017-07-30,6,False
2017-08-06,15,False
2017-08-13,10,False
2017-08-20,15,False
2017-08-27,12,False
2017-09-03,15,False
2017-09-10,12,False
2017-09-17,10,False
2017-09-24,17,False
2017-10-01,11,False
2017-10-08,15,False
2017-10-15,14,False
2017-10-22,27,False
2017-10-29,17,False
2017-11-05,14,False
2017-11-12,100,False
2017-11-19,52,False
2017-11-26,49,False
2017-12-03,56,False
2017-12-10,44,False
2017-12-17,31,True
