date,Crypto,isPartial
2016-12-25,3,False
2017-01-01,4,False
2017-01-08,4,False
2017-01-15,4,False
2017-01-22,4,False
2017-01-29,4,False
2017-02-05,4,False
2017-02-12,4,False
2017-02-19,5,False
2017-02-26,5,False
2017-03-05,5,False
2017-03-12,5,False
2017-03-19,6,False
2017-03-26,5,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,5,False
2017-04-30,6,False
2017-05-07,8,False
2017-05-14,9,False
2017-05-21,12,False
2017-05-28,11,False
2017-06-04,12,False
2017-06-11,15,False
2017-06-18,14,False
2017-06-25,14,False
2017-07-02,12,False
2017-07-09,12,False
2017-07-16,12,False
2017-07-23,11,False
2017-07-30,12,False
2017-08-06,15,False
2017-08-13,19,False
2017-08-20,18,False
2017-08-27,21,False
2017-09-03,23,False
2017-09-10,20,False
2017-09-17,17,False
2017-09-24,17,False
2017-10-01,17,False
2017-10-08,18,False
2017-10-15,19,False
2017-10-22,17,False
2017-10-29,20,False
2017-11-05,23,False
2017-11-12,25,False
2017-11-19,28,False
2017-11-26,40,False
2017-12-03,65,False
2017-12-10,82,False
2017-12-17,100,True
