date,Torcoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,5,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,5,False
2017-04-09,5,False
2017-04-16,53,False
2017-04-23,100,False
2017-04-30,65,False
2017-05-07,43,False
2017-05-14,33,False
2017-05-21,57,False
2017-05-28,12,False
2017-06-04,33,False
2017-06-11,28,False
2017-06-18,11,False
2017-06-25,29,False
2017-07-02,12,False
2017-07-09,6,False
2017-07-16,6,False
2017-07-23,6,False
2017-07-30,6,False
2017-08-06,11,False
2017-08-13,0,False
2017-08-20,17,False
2017-08-27,0,False
2017-09-03,6,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,11,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,21,False
2017-11-05,5,False
2017-11-12,15,False
2017-11-19,10,False
2017-11-26,10,False
2017-12-03,21,False
2017-12-10,10,False
2017-12-17,0,True
