date,MinexCoin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,5,False
2017-04-16,5,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,10,False
2017-05-21,15,False
2017-05-28,25,False
2017-06-04,19,False
2017-06-11,54,False
2017-06-18,24,False
2017-06-25,20,False
2017-07-02,15,False
2017-07-09,20,False
2017-07-16,10,False
2017-07-23,0,False
2017-07-30,14,False
2017-08-06,14,False
2017-08-13,19,False
2017-08-20,24,False
2017-08-27,10,False
2017-09-03,5,False
2017-09-10,9,False
2017-09-17,9,False
2017-09-24,9,False
2017-10-01,5,False
2017-10-08,5,False
2017-10-15,9,False
2017-10-22,0,False
2017-10-29,42,False
2017-11-05,100,False
2017-11-12,31,False
2017-11-19,36,False
2017-11-26,89,False
2017-12-03,63,False
2017-12-10,54,False
2017-12-17,32,True
