date,Einsteinium,isPartial
2016-12-25,5,False
2017-01-01,3,False
2017-01-08,5,False
2017-01-15,7,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,7,False
2017-02-12,5,False
2017-02-19,6,False
2017-02-26,4,False
2017-03-05,10,False
2017-03-12,7,False
2017-03-19,8,False
2017-03-26,7,False
2017-04-02,5,False
2017-04-09,6,False
2017-04-16,3,False
2017-04-23,4,False
2017-04-30,5,False
2017-05-07,6,False
2017-05-14,7,False
2017-05-21,9,False
2017-05-28,6,False
2017-06-04,7,False
2017-06-11,6,False
2017-06-18,5,False
2017-06-25,5,False
2017-07-02,5,False
2017-07-09,2,False
2017-07-16,4,False
2017-07-23,10,False
2017-07-30,4,False
2017-08-06,4,False
2017-08-13,4,False
2017-08-20,4,False
2017-08-27,4,False
2017-09-03,7,False
2017-09-10,7,False
2017-09-17,9,False
2017-09-24,11,False
2017-10-01,12,False
2017-10-08,8,False
2017-10-15,8,False
2017-10-22,10,False
2017-10-29,5,False
2017-11-05,7,False
2017-11-12,14,False
2017-11-19,7,False
2017-11-26,50,False
2017-12-03,100,False
2017-12-10,59,False
2017-12-17,100,True
